
 Sweep settings: Start voltage: 19.5 V, end voltage:  23 V, sweep points: 70.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.955000E+01,+1.595065E-08,+9.910000E+37
+1.960000E+01,-7.829198E-09,+9.910000E+37
+1.965000E+01,+1.070226E-08,+9.910000E+37
+1.970000E+01,+1.502119E-08,+9.910000E+37
+1.975000E+01,-2.491460E-08,+9.910000E+37
+1.980000E+01,+5.780317E-09,+9.910000E+37
+1.985000E+01,+2.776254E-08,+9.910000E+37
+1.990000E+01,-2.707017E-08,+9.910000E+37
+1.995000E+01,+3.943913E-09,+9.910000E+37
+2.000000E+01,+2.081740E-08,+9.910000E+37
+2.005000E+01,-1.945277E-08,+9.910000E+37
+2.010000E+01,+5.663531E-09,+9.910000E+37
+2.015000E+01,+1.847331E-08,+9.910000E+37
+2.020000E+01,-1.784527E-08,+9.910000E+37
+2.025000E+01,+8.893595E-09,+9.910000E+37
+2.030000E+01,+1.801770E-08,+9.910000E+37
+2.035000E+01,-2.447671E-08,+9.910000E+37
+2.040000E+01,+9.535568E-09,+9.910000E+37
+2.045000E+01,+8.234656E-09,+9.910000E+37
+2.050000E+01,-1.022540E-08,+9.910000E+37
+2.055000E+01,+7.899617E-09,+9.910000E+37
+2.060000E+01,+1.120717E-08,+9.910000E+37
+2.065000E+01,-3.260461E-09,+9.910000E+37
+2.070000E+01,+2.800568E-08,+9.910000E+37
+2.075000E+01,-1.781748E-08,+9.910000E+37
+2.080000E+01,+9.880556E-09,+9.910000E+37
+2.085000E+01,+3.866800E-08,+9.910000E+37
+2.090000E+01,+4.185304E-10,+9.910000E+37
+2.095000E+01,+2.762918E-08,+9.910000E+37
+2.100000E+01,+5.235586E-08,+9.910000E+37
+2.105000E+01,+8.697801E-08,+9.910000E+37
+2.110000E+01,+5.701138E-08,+9.910000E+37
+2.115000E+01,+1.085233E-07,+9.910000E+37
+2.120000E+01,+1.673649E-07,+9.910000E+37
+2.125000E+01,+1.432754E-07,+9.910000E+37
+2.130000E+01,+2.052868E-07,+9.910000E+37
+2.135000E+01,+2.898213E-07,+9.910000E+37
+2.140000E+01,+2.787041E-07,+9.910000E+37
+2.145000E+01,+3.524575E-07,+9.910000E+37
+2.150000E+01,+4.497871E-07,+9.910000E+37
+2.155000E+01,+4.546891E-07,+9.910000E+37
+2.160000E+01,+5.673665E-07,+9.910000E+37
+2.165000E+01,+6.555213E-07,+9.910000E+37
+2.170000E+01,+6.689833E-07,+9.910000E+37
+2.175000E+01,+7.997495E-07,+9.910000E+37
+2.180000E+01,+9.296052E-07,+9.910000E+37
+2.185000E+01,+9.419195E-07,+9.910000E+37
+2.190000E+01,+1.080499E-06,+9.910000E+37
+2.195000E+01,+1.232193E-06,+9.910000E+37
+2.200000E+01,+1.294015E-06,+9.910000E+37
+2.205000E+01,+1.410191E-06,+9.910000E+37
+2.210000E+01,+1.548556E-06,+9.910000E+37
+2.215000E+01,+1.658216E-06,+9.910000E+37
+2.220000E+01,+1.780875E-06,+9.910000E+37
+2.225000E+01,+1.948931E-06,+9.910000E+37
+2.230000E+01,+2.055787E-06,+9.910000E+37
+2.235000E+01,+2.250048E-06,+9.910000E+37
+2.240000E+01,+2.375988E-06,+9.910000E+37
+2.245000E+01,+2.495151E-06,+9.910000E+37
+2.250000E+01,+2.714215E-06,+9.910000E+37
+2.255000E+01,+2.921790E-06,+9.910000E+37
+2.260000E+01,+2.989324E-06,+9.910000E+37
+2.265000E+01,+3.211024E-06,+9.910000E+37
+2.270000E+01,+3.453085E-06,+9.910000E+37
+2.275000E+01,+3.601793E-06,+9.910000E+37
+2.280000E+01,+3.793503E-06,+9.910000E+37
+2.285000E+01,+4.037463E-06,+9.910000E+37
+2.290000E+01,+4.222266E-06,+9.910000E+37
+2.295000E+01,+4.394310E-06,+9.910000E+37
+2.300000E+01,+5.256948E-06,+9.910000E+37
