
 Sweep settings: Start voltage: 20 V, end voltage:  23 V, sweep points: 300, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.000000E+01,-5.388749E-07,+9.910000E+37
+2.000000E+01,+4.454808E-08,+9.910000E+37
+2.000000E+01,+7.369934E-09,+9.910000E+37
+2.005000E+01,-3.856682E-08,+9.910000E+37
+2.005000E+01,+3.450920E-08,+9.910000E+37
+2.005000E+01,+3.417526E-09,+9.910000E+37
+2.005000E+01,-3.062010E-08,+9.910000E+37
+2.005000E+01,+3.217078E-08,+9.910000E+37
+2.010000E+01,+3.519837E-09,+9.910000E+37
+2.010000E+01,-2.943628E-08,+9.910000E+37
+2.010000E+01,+3.484269E-08,+9.910000E+37
+2.010000E+01,+1.964211E-09,+9.910000E+37
+2.010000E+01,-2.493300E-08,+9.910000E+37
+2.015000E+01,+3.758523E-08,+9.910000E+37
+2.015000E+01,+7.823883E-09,+9.910000E+37
+2.015000E+01,-3.638077E-08,+9.910000E+37
+2.015000E+01,+4.628521E-08,+9.910000E+37
+2.015000E+01,+3.356236E-09,+9.910000E+37
+2.020000E+01,-3.872945E-08,+9.910000E+37
+2.020000E+01,+3.203029E-08,+9.910000E+37
+2.020000E+01,-6.136541E-10,+9.910000E+37
+2.020000E+01,-3.302670E-08,+9.910000E+37
+2.020000E+01,+3.412934E-08,+9.910000E+37
+2.025000E+01,-1.055620E-09,+9.910000E+37
+2.025000E+01,-3.689327E-08,+9.910000E+37
+2.025000E+01,+3.711142E-08,+9.910000E+37
+2.025000E+01,-7.354573E-09,+9.910000E+37
+2.025000E+01,-3.641872E-08,+9.910000E+37
+2.030000E+01,+4.184059E-08,+9.910000E+37
+2.030000E+01,-3.279933E-09,+9.910000E+37
+2.030000E+01,-3.536870E-08,+9.910000E+37
+2.030000E+01,+3.746176E-08,+9.910000E+37
+2.030000E+01,+1.842028E-09,+9.910000E+37
+2.035000E+01,-3.971250E-08,+9.910000E+37
+2.035000E+01,+3.045404E-08,+9.910000E+37
+2.035000E+01,+5.612205E-09,+9.910000E+37
+2.035000E+01,-1.916549E-08,+9.910000E+37
+2.035000E+01,-4.713547E-09,+9.910000E+37
+2.040000E+01,+2.655796E-08,+9.910000E+37
+2.040000E+01,-3.945180E-09,+9.910000E+37
