
 Sweep settings: Start voltage: 19.5 V, end voltage:  23 V, sweep points: 70.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.955000E+01,-1.042136E-08,+9.910000E+37
+1.960000E+01,-2.623504E-08,+9.910000E+37
+1.965000E+01,+4.205567E-08,+9.910000E+37
+1.970000E+01,-5.678636E-09,+9.910000E+37
+1.975000E+01,-1.875818E-08,+9.910000E+37
+1.980000E+01,-2.900049E-08,+9.910000E+37
+1.985000E+01,+3.490374E-08,+9.910000E+37
+1.990000E+01,+4.064040E-09,+9.910000E+37
+1.995000E+01,-1.432002E-08,+9.910000E+37
+2.000000E+01,-3.395274E-08,+9.910000E+37
+2.005000E+01,+4.029354E-08,+9.910000E+37
+2.010000E+01,+5.082877E-09,+9.910000E+37
+2.015000E+01,-1.195310E-08,+9.910000E+37
+2.020000E+01,-1.878261E-08,+9.910000E+37
+2.025000E+01,+3.639266E-08,+9.910000E+37
+2.030000E+01,+1.854034E-09,+9.910000E+37
+2.035000E+01,-1.384767E-08,+9.910000E+37
+2.040000E+01,-1.466286E-08,+9.910000E+37
+2.045000E+01,+3.469364E-08,+9.910000E+37
+2.050000E+01,-7.989114E-09,+9.910000E+37
+2.055000E+01,-1.417539E-08,+9.910000E+37
+2.060000E+01,-3.067621E-08,+9.910000E+37
+2.065000E+01,+4.321389E-08,+9.910000E+37
+2.070000E+01,+3.381913E-09,+9.910000E+37
+2.075000E+01,-2.412988E-09,+9.910000E+37
+2.080000E+01,-3.298730E-08,+9.910000E+37
+2.085000E+01,+3.363888E-08,+9.910000E+37
+2.090000E+01,+4.961133E-09,+9.910000E+37
+2.095000E+01,-3.897516E-09,+9.910000E+37
+2.100000E+01,-3.497909E-08,+9.910000E+37
+2.105000E+01,+3.260499E-08,+9.910000E+37
+2.110000E+01,+5.002116E-09,+9.910000E+37
+2.115000E+01,-1.301469E-08,+9.910000E+37
+2.120000E+01,-9.872925E-09,+9.910000E+37
+2.125000E+01,+2.968187E-08,+9.910000E+37
+2.130000E+01,+5.344218E-09,+9.910000E+37
+2.135000E+01,-3.681153E-08,+9.910000E+37
+2.140000E+01,+2.951491E-08,+9.910000E+37
+2.145000E+01,+1.115037E-08,+9.910000E+37
+2.150000E+01,-2.801936E-09,+9.910000E+37
+2.155000E+01,-3.094052E-08,+9.910000E+37
+2.160000E+01,+3.669011E-08,+9.910000E+37
+2.165000E+01,+1.763500E-08,+9.910000E+37
+2.170000E+01,+1.195305E-08,+9.910000E+37
+2.175000E+01,-1.403904E-08,+9.910000E+37
+2.180000E+01,+6.063607E-08,+9.910000E+37
+2.185000E+01,+5.543133E-08,+9.910000E+37
+2.190000E+01,+7.583852E-08,+9.910000E+37
+2.195000E+01,+6.848903E-08,+9.910000E+37
+2.200000E+01,+1.322183E-07,+9.910000E+37
+2.205000E+01,+2.089581E-07,+9.910000E+37
+2.210000E+01,+2.233385E-07,+9.910000E+37
+2.215000E+01,+2.552299E-07,+9.910000E+37
+2.220000E+01,+3.102353E-07,+9.910000E+37
+2.225000E+01,+3.865719E-07,+9.910000E+37
+2.230000E+01,+4.118839E-07,+9.910000E+37
+2.235000E+01,+4.190076E-07,+9.910000E+37
+2.240000E+01,+4.902996E-07,+9.910000E+37
+2.245000E+01,+5.437934E-07,+9.910000E+37
+2.250000E+01,+5.713215E-07,+9.910000E+37
+2.255000E+01,+5.747330E-07,+9.910000E+37
+2.260000E+01,+6.461296E-07,+9.910000E+37
+2.265000E+01,+6.988908E-07,+9.910000E+37
+2.270000E+01,+7.282152E-07,+9.910000E+37
+2.275000E+01,+7.368358E-07,+9.910000E+37
+2.280000E+01,+8.055727E-07,+9.910000E+37
+2.285000E+01,+8.807641E-07,+9.910000E+37
+2.290000E+01,+9.103455E-07,+9.910000E+37
+2.295000E+01,+9.109769E-07,+9.910000E+37
