
 Sweep settings: Start voltage: 19 V, end voltage:  25 V, sweep points: 120.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.900000E+01,+4.384211E-07,+9.910000E+37
+1.905000E+01,+6.910503E-10,+9.910000E+37
+1.910000E+01,-1.937580E-08,+9.910000E+37
+1.915000E+01,-1.967107E-08,+9.910000E+37
+1.920000E+01,+3.319984E-08,+9.910000E+37
+1.925000E+01,+2.507929E-10,+9.910000E+37
+1.930000E+01,-2.275817E-08,+9.910000E+37
+1.935000E+01,-1.611967E-08,+9.910000E+37
+1.940000E+01,+3.758042E-08,+9.910000E+37
+1.945000E+01,+4.343610E-09,+9.910000E+37
+1.950000E+01,-1.739128E-08,+9.910000E+37
+1.955000E+01,-2.107982E-08,+9.910000E+37
+1.960000E+01,+4.069873E-08,+9.910000E+37
+1.965000E+01,-1.880723E-09,+9.910000E+37
+1.970000E+01,-5.409400E-09,+9.910000E+37
+1.975000E+01,-3.937903E-08,+9.910000E+37
+1.980000E+01,+4.028448E-08,+9.910000E+37
+1.985000E+01,+5.870643E-09,+9.910000E+37
+1.990000E+01,-4.629853E-09,+9.910000E+37
+1.995000E+01,-2.958124E-08,+9.910000E+37
+2.000000E+01,+3.565418E-08,+9.910000E+37
+2.005000E+01,-5.196267E-10,+9.910000E+37
+2.010000E+01,-1.711587E-08,+9.910000E+37
+2.015000E+01,-1.366380E-08,+9.910000E+37
+2.020000E+01,+2.955132E-08,+9.910000E+37
+2.025000E+01,+1.166027E-10,+9.910000E+37
+2.030000E+01,-2.598622E-08,+9.910000E+37
+2.035000E+01,-1.756068E-08,+9.910000E+37
+2.040000E+01,+3.544101E-08,+9.910000E+37
+2.045000E+01,+2.802890E-09,+9.910000E+37
+2.050000E+01,-1.651776E-08,+9.910000E+37
+2.055000E+01,-3.067129E-08,+9.910000E+37
+2.060000E+01,+4.037496E-08,+9.910000E+37
+2.065000E+01,-7.863188E-09,+9.910000E+37
+2.070000E+01,-1.056885E-08,+9.910000E+37
+2.075000E+01,-3.049709E-08,+9.910000E+37
+2.080000E+01,+3.367202E-08,+9.910000E+37
+2.085000E+01,-2.666891E-09,+9.910000E+37
+2.090000E+01,-1.791529E-08,+9.910000E+37
+2.095000E+01,-1.767499E-08,+9.910000E+37
+2.100000E+01,+3.186865E-08,+9.910000E+37
+2.105000E+01,+3.663534E-09,+9.910000E+37
+2.110000E+01,-2.551899E-08,+9.910000E+37
+2.115000E+01,-2.705071E-08,+9.910000E+37
+2.120000E+01,+3.192722E-08,+9.910000E+37
+2.125000E+01,+4.094275E-09,+9.910000E+37
+2.130000E+01,+8.654161E-10,+9.910000E+37
+2.135000E+01,-3.996546E-08,+9.910000E+37
+2.140000E+01,+9.329776E-09,+9.910000E+37
+2.145000E+01,+2.370384E-08,+9.910000E+37
+2.150000E+01,-2.557958E-09,+9.910000E+37
+2.155000E+01,-3.952380E-08,+9.910000E+37
+2.160000E+01,+4.516635E-10,+9.910000E+37
+2.165000E+01,+3.356242E-08,+9.910000E+37
+2.170000E+01,+5.326429E-09,+9.910000E+37
+2.175000E+01,-2.870678E-08,+9.910000E+37
+2.180000E+01,-1.177748E-08,+9.910000E+37
+2.185000E+01,+2.663292E-08,+9.910000E+37
+2.190000E+01,-8.065729E-09,+9.910000E+37
+2.195000E+01,-2.987110E-08,+9.910000E+37
+2.200000E+01,-2.676744E-08,+9.910000E+37
+2.205000E+01,+3.545270E-08,+9.910000E+37
+2.210000E+01,-3.376433E-09,+9.910000E+37
+2.215000E+01,-1.944456E-08,+9.910000E+37
+2.220000E+01,-2.481765E-08,+9.910000E+37
+2.225000E+01,+3.000259E-08,+9.910000E+37
+2.230000E+01,+4.110756E-10,+9.910000E+37
+2.235000E+01,+2.623897E-10,+9.910000E+37
+2.240000E+01,-3.200274E-08,+9.910000E+37
+2.245000E+01,+1.935016E-08,+9.910000E+37
+2.250000E+01,+1.788728E-08,+9.910000E+37
+2.255000E+01,+4.271107E-09,+9.910000E+37
+2.260000E+01,-4.402613E-08,+9.910000E+37
+2.265000E+01,+2.157006E-08,+9.910000E+37
+2.270000E+01,+1.673300E-08,+9.910000E+37
+2.275000E+01,-7.970040E-09,+9.910000E+37
+2.280000E+01,-3.707077E-08,+9.910000E+37
+2.285000E+01,+1.297485E-08,+9.910000E+37
+2.290000E+01,+1.635986E-08,+9.910000E+37
+2.295000E+01,+1.405490E-09,+9.910000E+37
+2.300000E+01,-2.693515E-08,+9.910000E+37
+2.305000E+01,+1.539237E-08,+9.910000E+37
+2.310000E+01,+1.810478E-08,+9.910000E+37
+2.315000E+01,+4.624419E-09,+9.910000E+37
+2.320000E+01,-3.982879E-08,+9.910000E+37
+2.325000E+01,+1.402600E-08,+9.910000E+37
+2.330000E+01,+1.550120E-08,+9.910000E+37
+2.335000E+01,+3.011623E-09,+9.910000E+37
+2.340000E+01,-3.787659E-08,+9.910000E+37
+2.345000E+01,+1.221356E-08,+9.910000E+37
+2.350000E+01,+2.776632E-08,+9.910000E+37
+2.355000E+01,-6.405741E-10,+9.910000E+37
+2.360000E+01,-2.841728E-08,+9.910000E+37
+2.365000E+01,-1.810084E-08,+9.910000E+37
+2.370000E+01,+3.827934E-08,+9.910000E+37
+2.375000E+01,+2.177091E-09,+9.910000E+37
+2.380000E+01,-1.381783E-08,+9.910000E+37
+2.385000E+01,-2.594848E-08,+9.910000E+37
+2.390000E+01,+4.038123E-08,+9.910000E+37
+2.395000E+01,+9.760012E-10,+9.910000E+37
+2.400000E+01,-1.409508E-08,+9.910000E+37
+2.405000E+01,-1.460786E-08,+9.910000E+37
+2.410000E+01,+4.424499E-08,+9.910000E+37
+2.415000E+01,-2.258484E-09,+9.910000E+37
+2.420000E+01,-1.458129E-08,+9.910000E+37
+2.425000E+01,-2.536657E-08,+9.910000E+37
+2.430000E+01,+3.933962E-08,+9.910000E+37
+2.435000E+01,+2.320801E-09,+9.910000E+37
+2.440000E+01,-7.945191E-09,+9.910000E+37
+2.445000E+01,-3.095434E-08,+9.910000E+37
+2.450000E+01,+3.878117E-08,+9.910000E+37
+2.455000E+01,+5.897964E-09,+9.910000E+37
+2.460000E+01,-5.566775E-09,+9.910000E+37
+2.465000E+01,-3.891017E-08,+9.910000E+37
+2.470000E+01,+3.740912E-08,+9.910000E+37
+2.475000E+01,+2.227534E-08,+9.910000E+37
+2.480000E+01,-1.133898E-09,+9.910000E+37
+2.485000E+01,-3.370780E-08,+9.910000E+37
+2.490000E+01,+1.050265E-08,+9.910000E+37
+2.495000E+01,+2.562025E-08,+9.910000E+37
