
 Sweep settings: Start voltage: 19 V, end voltage:  22 V, sweep points: 60.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.900000E+01,+1.807265E-07,+9.910000E+37
+1.905000E+01,+4.583409E-09,+9.910000E+37
+1.910000E+01,-3.147948E-08,+9.910000E+37
+1.915000E+01,+3.120450E-08,+9.910000E+37
+1.920000E+01,+2.522509E-09,+9.910000E+37
+1.925000E+01,-2.443003E-08,+9.910000E+37
+1.930000E+01,+3.054752E-08,+9.910000E+37
+1.935000E+01,+8.174655E-09,+9.910000E+37
+1.940000E+01,-1.966528E-08,+9.910000E+37
+1.945000E+01,+3.593940E-09,+9.910000E+37
+1.950000E+01,+1.897110E-08,+9.910000E+37
+1.955000E+01,-6.854569E-09,+9.910000E+37
+1.960000E+01,-3.623865E-08,+9.910000E+37
+1.965000E+01,+3.300680E-08,+9.910000E+37
+1.970000E+01,+1.918645E-09,+9.910000E+37
+1.975000E+01,-3.681414E-08,+9.910000E+37
+1.980000E+01,+3.671708E-08,+9.910000E+37
+1.985000E+01,+1.041026E-09,+9.910000E+37
+1.990000E+01,-3.628797E-08,+9.910000E+37
+1.995000E+01,+3.195947E-08,+9.910000E+37
+2.000000E+01,+4.672872E-09,+9.910000E+37
+2.005000E+01,-2.990498E-08,+9.910000E+37
+2.010000E+01,+2.691145E-08,+9.910000E+37
+2.015000E+01,-6.264945E-10,+9.910000E+37
+2.020000E+01,-2.510026E-08,+9.910000E+37
+2.025000E+01,+2.196481E-08,+9.910000E+37
+2.030000E+01,+6.449631E-09,+9.910000E+37
+2.035000E+01,-1.408714E-08,+9.910000E+37
+2.040000E+01,+1.412204E-08,+9.910000E+37
+2.045000E+01,+1.878270E-08,+9.910000E+37
+2.050000E+01,-5.401106E-09,+9.910000E+37
+2.055000E+01,-6.960214E-09,+9.910000E+37
+2.060000E+01,+1.467587E-08,+9.910000E+37
+2.065000E+01,-4.038350E-09,+9.910000E+37
+2.070000E+01,-2.023661E-08,+9.910000E+37
+2.075000E+01,+2.938464E-08,+9.910000E+37
+2.080000E+01,+5.737189E-11,+9.910000E+37
+2.085000E+01,-3.733997E-08,+9.910000E+37
+2.090000E+01,+4.269543E-08,+9.910000E+37
+2.095000E+01,+1.555419E-09,+9.910000E+37
+2.100000E+01,-3.180846E-08,+9.910000E+37
+2.105000E+01,+2.562028E-08,+9.910000E+37
+2.110000E+01,+2.551086E-09,+9.910000E+37
+2.115000E+01,-2.947935E-08,+9.910000E+37
+2.120000E+01,+2.072970E-08,+9.910000E+37
+2.125000E+01,+8.268982E-10,+9.910000E+37
+2.130000E+01,-3.085077E-08,+9.910000E+37
+2.135000E+01,+2.897735E-08,+9.910000E+37
+2.140000E+01,+9.604313E-09,+9.910000E+37
+2.145000E+01,-9.148916E-09,+9.910000E+37
+2.150000E+01,-1.285610E-08,+9.910000E+37
+2.155000E+01,+1.395766E-08,+9.910000E+37
+2.160000E+01,-8.968359E-09,+9.910000E+37
+2.165000E+01,-1.963849E-08,+9.910000E+37
+2.170000E+01,+2.353723E-08,+9.910000E+37
+2.175000E+01,+2.989692E-09,+9.910000E+37
+2.180000E+01,-2.099707E-08,+9.910000E+37
+2.185000E+01,+2.373324E-08,+9.910000E+37
+2.190000E+01,+1.643637E-09,+9.910000E+37
+2.195000E+01,-3.879381E-08,+9.910000E+37
