
 Sweep settings: Start voltage: 10 V, end voltage:  22 V, sweep points: 240.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.000000E+01,+2.994159E-08,+9.910000E+37
+1.005000E+01,+2.558001E-08,+9.910000E+37
+1.010000E+01,+1.130036E-08,+9.910000E+37
+1.015000E+01,+2.292895E-08,+9.910000E+37
+1.020000E+01,+1.613580E-08,+9.910000E+37
+1.025000E+01,+2.219663E-08,+9.910000E+37
+1.030000E+01,+1.880120E-09,+9.910000E+37
+1.035000E+01,-1.584844E-08,+9.910000E+37
+1.040000E+01,-1.965829E-08,+9.910000E+37
+1.045000E+01,-3.467525E-08,+9.910000E+37
+1.050000E+01,-3.105090E-08,+9.910000E+37
+1.055000E+01,-4.667912E-08,+9.910000E+37
+1.060000E+01,-2.968132E-08,+9.910000E+37
+1.065000E+01,-3.472072E-08,+9.910000E+37
+1.070000E+01,-2.238096E-08,+9.910000E+37
+1.075000E+01,-1.244149E-08,+9.910000E+37
+1.080000E+01,-5.110344E-09,+9.910000E+37
+1.085000E+01,-4.438264E-10,+9.910000E+37
+1.090000E+01,+4.107943E-09,+9.910000E+37
+1.095000E+01,+1.191370E-09,+9.910000E+37
+1.100000E+01,+3.819262E-09,+9.910000E+37
+1.105000E+01,+9.738975E-09,+9.910000E+37
+1.110000E+01,+1.206203E-08,+9.910000E+37
+1.115000E+01,+1.876607E-08,+9.910000E+37
+1.120000E+01,+1.978084E-08,+9.910000E+37
+1.125000E+01,+2.290194E-08,+9.910000E+37
+1.130000E+01,+3.143014E-08,+9.910000E+37
+1.135000E+01,+2.960773E-08,+9.910000E+37
+1.140000E+01,+4.173188E-08,+9.910000E+37
+1.145000E+01,+3.254559E-08,+9.910000E+37
+1.150000E+01,+3.556734E-08,+9.910000E+37
+1.155000E+01,+4.446721E-08,+9.910000E+37
+1.160000E+01,+4.250208E-08,+9.910000E+37
+1.165000E+01,+3.912117E-08,+9.910000E+37
+1.170000E+01,+2.311248E-08,+9.910000E+37
+1.175000E+01,+9.403447E-09,+9.910000E+37
+1.180000E+01,-1.485992E-09,+9.910000E+37
+1.185000E+01,-1.664321E-08,+9.910000E+37
+1.190000E+01,-2.494070E-08,+9.910000E+37
+1.195000E+01,-4.231026E-08,+9.910000E+37
+1.200000E+01,-3.779052E-08,+9.910000E+37
+1.205000E+01,-2.612660E-08,+9.910000E+37
+1.210000E+01,-2.079521E-08,+9.910000E+37
+1.215000E+01,-2.567384E-08,+9.910000E+37
+1.220000E+01,-1.208031E-08,+9.910000E+37
+1.225000E+01,-6.359174E-09,+9.910000E+37
+1.230000E+01,+2.349389E-09,+9.910000E+37
+1.235000E+01,-3.767888E-09,+9.910000E+37
+1.240000E+01,+2.485630E-09,+9.910000E+37
+1.245000E+01,-2.057172E-09,+9.910000E+37
+1.250000E+01,+1.304438E-08,+9.910000E+37
+1.255000E+01,+2.091160E-08,+9.910000E+37
+1.260000E+01,+3.079986E-08,+9.910000E+37
+1.265000E+01,+3.466154E-08,+9.910000E+37
+1.270000E+01,+2.737044E-08,+9.910000E+37
+1.275000E+01,+4.038991E-08,+9.910000E+37
+1.280000E+01,+3.740105E-08,+9.910000E+37
+1.285000E+01,+3.407720E-08,+9.910000E+37
+1.290000E+01,+4.037126E-08,+9.910000E+37
+1.295000E+01,+3.473563E-08,+9.910000E+37
+1.300000E+01,+9.557131E-09,+9.910000E+37
+1.305000E+01,-5.892150E-10,+9.910000E+37
+1.310000E+01,-1.336848E-08,+9.910000E+37
+1.315000E+01,-1.780884E-08,+9.910000E+37
+1.320000E+01,-3.111790E-08,+9.910000E+37
+1.325000E+01,-3.549085E-08,+9.910000E+37
+1.330000E+01,-4.034415E-08,+9.910000E+37
+1.335000E+01,-3.015154E-08,+9.910000E+37
+1.340000E+01,-2.721225E-08,+9.910000E+37
+1.345000E+01,-3.830827E-08,+9.910000E+37
+1.350000E+01,-3.090406E-08,+9.910000E+37
+1.355000E+01,-2.777237E-08,+9.910000E+37
+1.360000E+01,-2.642985E-08,+9.910000E+37
+1.365000E+01,-8.060796E-09,+9.910000E+37
+1.370000E+01,-7.243529E-09,+9.910000E+37
+1.375000E+01,-1.049991E-10,+9.910000E+37
+1.380000E+01,+1.460990E-09,+9.910000E+37
+1.385000E+01,+1.072633E-08,+9.910000E+37
+1.390000E+01,+1.110450E-08,+9.910000E+37
+1.395000E+01,+1.765284E-08,+9.910000E+37
+1.400000E+01,+2.191428E-08,+9.910000E+37
+1.405000E+01,+2.936101E-08,+9.910000E+37
+1.410000E+01,+3.346448E-08,+9.910000E+37
+1.415000E+01,+3.964324E-08,+9.910000E+37
+1.420000E+01,+3.493894E-08,+9.910000E+37
+1.425000E+01,+6.769787E-09,+9.910000E+37
+1.430000E+01,-2.287874E-08,+9.910000E+37
+1.435000E+01,-3.212692E-08,+9.910000E+37
