
 Sweep settings: Start voltage: 18 V, end voltage:  25 V, sweep points: 140.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.800000E+01,-5.325567E-08,+9.910000E+37
+1.805000E+01,-2.077755E-08,+9.910000E+37
+1.810000E+01,-1.468196E-08,+9.910000E+37
+1.815000E+01,-1.019147E-08,+9.910000E+37
+1.820000E+01,-8.755821E-09,+9.910000E+37
+1.825000E+01,-7.195476E-09,+9.910000E+37
+1.830000E+01,-1.112133E-10,+9.910000E+37
+1.835000E+01,+2.155549E-09,+9.910000E+37
+1.840000E+01,+2.824427E-09,+9.910000E+37
+1.845000E+01,+7.458112E-09,+9.910000E+37
+1.850000E+01,+2.903125E-09,+9.910000E+37
+1.855000E+01,+2.487225E-10,+9.910000E+37
+1.860000E+01,+5.997367E-09,+9.910000E+37
+1.865000E+01,+9.675603E-09,+9.910000E+37
+1.870000E+01,+1.914966E-08,+9.910000E+37
+1.875000E+01,+2.225923E-08,+9.910000E+37
+1.880000E+01,+1.987702E-08,+9.910000E+37
+1.885000E+01,+2.121599E-08,+9.910000E+37
+1.890000E+01,+1.964747E-08,+9.910000E+37
+1.895000E+01,+2.389607E-08,+9.910000E+37
+1.900000E+01,+2.542673E-08,+9.910000E+37
+1.905000E+01,+1.454242E-08,+9.910000E+37
+1.910000E+01,+1.082288E-08,+9.910000E+37
+1.915000E+01,+1.430755E-09,+9.910000E+37
+1.920000E+01,+8.016316E-10,+9.910000E+37
+1.925000E+01,+3.470517E-09,+9.910000E+37
+1.930000E+01,+2.957386E-09,+9.910000E+37
+1.935000E+01,+1.312638E-08,+9.910000E+37
+1.940000E+01,+1.045212E-08,+9.910000E+37
+1.945000E+01,+7.628767E-09,+9.910000E+37
+1.950000E+01,+1.439834E-08,+9.910000E+37
+1.955000E+01,+2.101505E-08,+9.910000E+37
+1.960000E+01,+2.714841E-08,+9.910000E+37
+1.965000E+01,+2.052671E-08,+9.910000E+37
+1.970000E+01,+1.554141E-08,+9.910000E+37
+1.975000E+01,+2.184911E-08,+9.910000E+37
+1.980000E+01,+1.809438E-08,+9.910000E+37
+1.985000E+01,+3.503494E-08,+9.910000E+37
+1.990000E+01,+2.481516E-08,+9.910000E+37
+1.995000E+01,+3.265247E-08,+9.910000E+37
+2.000000E+01,+3.459882E-08,+9.910000E+37
+2.005000E+01,+3.598438E-08,+9.910000E+37
+2.010000E+01,+3.311716E-08,+9.910000E+37
+2.015000E+01,+2.635045E-08,+9.910000E+37
+2.020000E+01,+2.532452E-08,+9.910000E+37
+2.025000E+01,+3.624823E-08,+9.910000E+37
+2.030000E+01,+4.078482E-08,+9.910000E+37
+2.035000E+01,+3.500270E-08,+9.910000E+37
+2.040000E+01,+2.302964E-08,+9.910000E+37
+2.045000E+01,+2.802573E-08,+9.910000E+37
+2.050000E+01,+2.920843E-08,+9.910000E+37
+2.055000E+01,+3.329686E-08,+9.910000E+37
+2.060000E+01,+3.566234E-08,+9.910000E+37
+2.065000E+01,+3.531087E-08,+9.910000E+37
+2.070000E+01,+4.043978E-08,+9.910000E+37
+2.075000E+01,+3.882352E-08,+9.910000E+37
+2.080000E+01,+3.543468E-08,+9.910000E+37
+2.085000E+01,+4.141437E-08,+9.910000E+37
+2.090000E+01,+4.128018E-08,+9.910000E+37
+2.095000E+01,+3.535520E-08,+9.910000E+37
+2.100000E+01,+4.186850E-08,+9.910000E+37
+2.105000E+01,+3.012540E-08,+9.910000E+37
+2.110000E+01,+2.953901E-08,+9.910000E+37
+2.115000E+01,+3.601070E-08,+9.910000E+37
+2.120000E+01,+1.465555E-08,+9.910000E+37
+2.125000E+01,+1.490445E-08,+9.910000E+37
+2.130000E+01,+9.346327E-09,+9.910000E+37
+2.135000E+01,+1.490393E-09,+9.910000E+37
+2.140000E+01,-6.365826E-09,+9.910000E+37
+2.145000E+01,-2.380260E-09,+9.910000E+37
+2.150000E+01,-3.504034E-09,+9.910000E+37
+2.155000E+01,-1.276500E-08,+9.910000E+37
+2.160000E+01,-1.124606E-08,+9.910000E+37
+2.165000E+01,-8.776948E-09,+9.910000E+37
+2.170000E+01,-1.904861E-08,+9.910000E+37
+2.175000E+01,-2.400053E-08,+9.910000E+37
+2.180000E+01,-2.672564E-08,+9.910000E+37
+2.185000E+01,-2.288119E-08,+9.910000E+37
+2.190000E+01,-7.936949E-09,+9.910000E+37
+2.195000E+01,-2.581383E-08,+9.910000E+37
+2.200000E+01,-3.165683E-08,+9.910000E+37
+2.205000E+01,-4.078025E-08,+9.910000E+37
+2.210000E+01,-4.249241E-08,+9.910000E+37
+2.215000E+01,-3.793835E-08,+9.910000E+37
+2.220000E+01,-3.863510E-08,+9.910000E+37
+2.225000E+01,-3.128229E-08,+9.910000E+37
+2.230000E+01,-3.522982E-08,+9.910000E+37
+2.235000E+01,-3.877416E-08,+9.910000E+37
+2.240000E+01,-2.963334E-08,+9.910000E+37
+2.245000E+01,-2.906597E-08,+9.910000E+37
+2.250000E+01,-2.044650E-08,+9.910000E+37
+2.255000E+01,-3.581069E-08,+9.910000E+37
+2.260000E+01,-3.120443E-08,+9.910000E+37
+2.265000E+01,-3.328040E-08,+9.910000E+37
+2.270000E+01,-3.514283E-08,+9.910000E+37
+2.275000E+01,-3.593358E-08,+9.910000E+37
+2.280000E+01,-3.745872E-08,+9.910000E+37
+2.285000E+01,-3.688826E-08,+9.910000E+37
+2.290000E+01,-3.804022E-08,+9.910000E+37
+2.295000E+01,-3.118134E-08,+9.910000E+37
+2.300000E+01,-4.137730E-08,+9.910000E+37
+2.305000E+01,-4.183627E-08,+9.910000E+37
+2.310000E+01,-4.290057E-08,+9.910000E+37
+2.315000E+01,-3.088684E-08,+9.910000E+37
+2.320000E+01,-3.278884E-08,+9.910000E+37
+2.325000E+01,-2.958777E-08,+9.910000E+37
+2.330000E+01,-3.391176E-08,+9.910000E+37
+2.335000E+01,-3.515637E-08,+9.910000E+37
+2.340000E+01,-3.586426E-08,+9.910000E+37
+2.345000E+01,-2.653876E-08,+9.910000E+37
+2.350000E+01,-4.008145E-08,+9.910000E+37
+2.355000E+01,-3.821266E-08,+9.910000E+37
