
 Sweep settings: Start voltage: 19 V, end voltage:  22 V, sweep points: 60.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.900000E+01,-2.689911E-08,+9.910000E+37
+1.905000E+01,-3.692555E-08,+9.910000E+37
+1.910000E+01,+1.807859E-08,+9.910000E+37
+1.915000E+01,+3.921184E-08,+9.910000E+37
+1.920000E+01,+2.031064E-08,+9.910000E+37
+1.925000E+01,+4.299695E-09,+9.910000E+37
+1.930000E+01,-6.576232E-09,+9.910000E+37
+1.935000E+01,-1.452205E-08,+9.910000E+37
+1.940000E+01,-4.324344E-08,+9.910000E+37
+1.945000E+01,-3.066275E-08,+9.910000E+37
+1.950000E+01,+8.517603E-09,+9.910000E+37
+1.955000E+01,+3.719449E-08,+9.910000E+37
+1.960000E+01,+2.603399E-08,+9.910000E+37
+1.965000E+01,+4.185379E-09,+9.910000E+37
+1.970000E+01,-2.821398E-09,+9.910000E+37
+1.975000E+01,-3.858365E-10,+9.910000E+37
+1.980000E+01,-1.242238E-08,+9.910000E+37
+1.985000E+01,-3.482227E-08,+9.910000E+37
+1.990000E+01,-1.991633E-08,+9.910000E+37
+1.995000E+01,+1.180440E-08,+9.910000E+37
+2.000000E+01,+3.370525E-08,+9.910000E+37
+2.005000E+01,+1.121214E-08,+9.910000E+37
+2.010000E+01,+3.173984E-09,+9.910000E+37
+2.015000E+01,-7.660791E-10,+9.910000E+37
+2.020000E+01,-3.754632E-09,+9.910000E+37
+2.025000E+01,-2.287830E-08,+9.910000E+37
+2.030000E+01,-3.730009E-08,+9.910000E+37
+2.035000E+01,-1.567315E-08,+9.910000E+37
+2.040000E+01,+1.947428E-08,+9.910000E+37
+2.045000E+01,+4.045733E-08,+9.910000E+37
+2.050000E+01,+1.563667E-08,+9.910000E+37
+2.055000E+01,+5.770009E-09,+9.910000E+37
+2.060000E+01,+5.448526E-10,+9.910000E+37
+2.065000E+01,-3.010564E-08,+9.910000E+37
+2.070000E+01,-2.255743E-08,+9.910000E+37
+2.075000E+01,+6.028444E-09,+9.910000E+37
+2.080000E+01,+4.210358E-08,+9.910000E+37
+2.085000E+01,+2.206172E-08,+9.910000E+37
+2.090000E+01,+9.263864E-09,+9.910000E+37
+2.095000E+01,-1.093316E-09,+9.910000E+37
+2.100000E+01,+3.801449E-09,+9.910000E+37
+2.105000E+01,-3.972067E-09,+9.910000E+37
+2.110000E+01,-3.298341E-08,+9.910000E+37
+2.115000E+01,-3.330489E-08,+9.910000E+37
+2.120000E+01,-5.133966E-09,+9.910000E+37
+2.125000E+01,+3.054638E-08,+9.910000E+37
+2.130000E+01,+4.076755E-08,+9.910000E+37
+2.135000E+01,+3.001293E-08,+9.910000E+37
+2.140000E+01,+1.114331E-09,+9.910000E+37
+2.145000E+01,+9.718584E-10,+9.910000E+37
+2.150000E+01,-1.162135E-08,+9.910000E+37
+2.155000E+01,-3.545798E-08,+9.910000E+37
+2.160000E+01,-7.710532E-10,+9.910000E+37
+2.165000E+01,+4.214517E-08,+9.910000E+37
+2.170000E+01,+1.601520E-08,+9.910000E+37
+2.175000E+01,+7.270860E-10,+9.910000E+37
+2.180000E+01,-2.761763E-09,+9.910000E+37
+2.185000E+01,-1.820605E-08,+9.910000E+37
+2.190000E+01,-2.726077E-08,+9.910000E+37
+2.195000E+01,+1.579651E-08,+9.910000E+37
