
 Sweep settings: Start voltage: 19.5 V, end voltage:  23 V, sweep points: 70.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.955000E+01,+1.541746E-09,+9.910000E+37
+1.960000E+01,+3.430035E-08,+9.910000E+37
+1.965000E+01,-2.460811E-08,+9.910000E+37
+1.970000E+01,+4.616934E-09,+9.910000E+37
+1.975000E+01,+3.012587E-08,+9.910000E+37
+1.980000E+01,-1.899629E-08,+9.910000E+37
+1.985000E+01,-4.399552E-09,+9.910000E+37
+1.990000E+01,+2.374853E-08,+9.910000E+37
+1.995000E+01,-1.411150E-08,+9.910000E+37
+2.000000E+01,+1.367384E-09,+9.910000E+37
+2.005000E+01,+2.953946E-08,+9.910000E+37
+2.010000E+01,-1.686186E-08,+9.910000E+37
+2.015000E+01,+2.444220E-09,+9.910000E+37
+2.020000E+01,+2.296155E-08,+9.910000E+37
+2.025000E+01,-2.075797E-08,+9.910000E+37
+2.030000E+01,+3.386857E-09,+9.910000E+37
+2.035000E+01,+2.814571E-08,+9.910000E+37
+2.040000E+01,-2.430564E-08,+9.910000E+37
+2.045000E+01,+1.317271E-09,+9.910000E+37
+2.050000E+01,+3.030600E-08,+9.910000E+37
+2.055000E+01,-2.057530E-08,+9.910000E+37
+2.060000E+01,+6.639332E-09,+9.910000E+37
+2.065000E+01,+3.820505E-08,+9.910000E+37
+2.070000E+01,-3.046792E-08,+9.910000E+37
+2.075000E+01,+8.287693E-09,+9.910000E+37
+2.080000E+01,+5.030668E-08,+9.910000E+37
+2.085000E+01,-1.973364E-08,+9.910000E+37
+2.090000E+01,+1.942503E-08,+9.910000E+37
+2.095000E+01,+6.145036E-08,+9.910000E+37
+2.100000E+01,+3.058843E-08,+9.910000E+37
+2.105000E+01,+7.116935E-08,+9.910000E+37
+2.110000E+01,+9.452641E-08,+9.910000E+37
+2.115000E+01,+1.486440E-07,+9.910000E+37
+2.120000E+01,+1.339381E-07,+9.910000E+37
+2.125000E+01,+2.119457E-07,+9.910000E+37
+2.130000E+01,+2.707821E-07,+9.910000E+37
+2.135000E+01,+2.767318E-07,+9.910000E+37
+2.140000E+01,+3.671103E-07,+9.910000E+37
+2.145000E+01,+4.551674E-07,+9.910000E+37
+2.150000E+01,+4.610575E-07,+9.910000E+37
+2.155000E+01,+5.872889E-07,+9.910000E+37
+2.160000E+01,+6.993898E-07,+9.910000E+37
+2.165000E+01,+7.162601E-07,+9.910000E+37
+2.170000E+01,+8.506350E-07,+9.910000E+37
+2.175000E+01,+9.608505E-07,+9.910000E+37
+2.180000E+01,+1.043095E-06,+9.910000E+37
+2.185000E+01,+1.154378E-06,+9.910000E+37
+2.190000E+01,+1.309161E-06,+9.910000E+37
+2.195000E+01,+1.403849E-06,+9.910000E+37
+2.200000E+01,+1.575801E-06,+9.910000E+37
+2.205000E+01,+1.688995E-06,+9.910000E+37
+2.210000E+01,+1.817201E-06,+9.910000E+37
+2.215000E+01,+1.985180E-06,+9.910000E+37
+2.220000E+01,+2.110954E-06,+9.910000E+37
+2.225000E+01,+2.306140E-06,+9.910000E+37
+2.230000E+01,+2.449393E-06,+9.910000E+37
+2.235000E+01,+2.660018E-06,+9.910000E+37
+2.240000E+01,+2.823439E-06,+9.910000E+37
+2.245000E+01,+2.975095E-06,+9.910000E+37
+2.250000E+01,+3.224021E-06,+9.910000E+37
+2.255000E+01,+3.475128E-06,+9.910000E+37
+2.260000E+01,+3.552798E-06,+9.910000E+37
+2.265000E+01,+3.833317E-06,+9.910000E+37
+2.270000E+01,+4.097806E-06,+9.910000E+37
+2.275000E+01,+4.293864E-06,+9.910000E+37
+2.280000E+01,+4.497137E-06,+9.910000E+37
+2.285000E+01,+4.793147E-06,+9.910000E+37
+2.290000E+01,+5.020764E-06,+9.910000E+37
+2.295000E+01,+5.227748E-06,+9.910000E+37
+2.300000E+01,+5.912122E-06,+9.910000E+37
