
 Sweep settings: Start voltage: 20 V, end voltage:  23 V, sweep points: 60, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.000000E+01,+6.779297E-07,+9.910000E+37
+2.005000E+01,-9.392896E-09,+9.910000E+37
+2.010000E+01,-2.367118E-08,+9.910000E+37
+2.015000E+01,+2.910579E-08,+9.910000E+37
+2.020000E+01,+1.651093E-09,+9.910000E+37
+2.025000E+01,-3.505340E-08,+9.910000E+37
+2.030000E+01,+3.742536E-08,+9.910000E+37
+2.035000E+01,-8.894173E-09,+9.910000E+37
+2.040000E+01,-3.535009E-08,+9.910000E+37
+2.045000E+01,+3.077345E-08,+9.910000E+37
+2.050000E+01,-2.342165E-09,+9.910000E+37
+2.055000E+01,-3.569875E-08,+9.910000E+37
+2.060000E+01,+1.680678E-08,+9.910000E+37
+2.065000E+01,+3.429119E-09,+9.910000E+37
+2.070000E+01,-9.591334E-09,+9.910000E+37
+2.075000E+01,+1.206249E-08,+9.910000E+37
+2.080000E+01,+7.370381E-09,+9.910000E+37
+2.085000E+01,+6.541950E-10,+9.910000E+37
+2.090000E+01,-1.734788E-08,+9.910000E+37
+2.095000E+01,+3.767332E-08,+9.910000E+37
+2.100000E+01,+1.807490E-08,+9.910000E+37
+2.105000E+01,-5.421828E-09,+9.910000E+37
+2.110000E+01,+6.010275E-08,+9.910000E+37
+2.115000E+01,+5.492846E-08,+9.910000E+37
+2.120000E+01,+4.096966E-08,+9.910000E+37
+2.125000E+01,+1.445259E-07,+9.910000E+37
+2.130000E+01,+1.373984E-07,+9.910000E+37
+2.135000E+01,+1.368137E-07,+9.910000E+37
+2.140000E+01,+2.614188E-07,+9.910000E+37
+2.145000E+01,+2.632791E-07,+9.910000E+37
+2.150000E+01,+2.921373E-07,+9.910000E+37
+2.155000E+01,+4.232526E-07,+9.910000E+37
+2.160000E+01,+4.750079E-07,+9.910000E+37
+2.165000E+01,+5.064996E-07,+9.910000E+37
+2.170000E+01,+6.380037E-07,+9.910000E+37
+2.175000E+01,+7.433824E-07,+9.910000E+37
+2.180000E+01,+8.418617E-07,+9.910000E+37
+2.185000E+01,+9.248327E-07,+9.910000E+37
+2.190000E+01,+1.067250E-06,+9.910000E+37
+2.195000E+01,+1.177006E-06,+9.910000E+37
+2.200000E+01,+1.310255E-06,+9.910000E+37
+2.205000E+01,+1.398359E-06,+9.910000E+37
+2.210000E+01,+1.518925E-06,+9.910000E+37
+2.215000E+01,+1.693269E-06,+9.910000E+37
+2.220000E+01,+1.785690E-06,+9.910000E+37
+2.225000E+01,+1.934458E-06,+9.910000E+37
+2.230000E+01,+2.088389E-06,+9.910000E+37
+2.235000E+01,+2.264837E-06,+9.910000E+37
+2.240000E+01,+2.370328E-06,+9.910000E+37
+2.245000E+01,+2.531086E-06,+9.910000E+37
+2.250000E+01,+2.762501E-06,+9.910000E+37
+2.255000E+01,+2.935335E-06,+9.910000E+37
+2.260000E+01,+3.045712E-06,+9.910000E+37
+2.265000E+01,+3.303201E-06,+9.910000E+37
+2.270000E+01,+3.506935E-06,+9.910000E+37
+2.275000E+01,+3.683388E-06,+9.910000E+37
+2.280000E+01,+3.914557E-06,+9.910000E+37
+2.285000E+01,+4.123137E-06,+9.910000E+37
+2.290000E+01,+4.309852E-06,+9.910000E+37
+2.295000E+01,+4.547062E-06,+9.910000E+37
