
 Sweep settings: Start voltage: 19.5 V, end voltage:  23 V, sweep points: 70.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.955000E+01,-3.529711E-08,+9.910000E+37
+1.960000E+01,+3.070031E-08,+9.910000E+37
+1.965000E+01,+3.222360E-08,+9.910000E+37
+1.970000E+01,-3.765371E-09,+9.910000E+37
+1.975000E+01,-1.719742E-08,+9.910000E+37
+1.980000E+01,-2.090668E-08,+9.910000E+37
+1.985000E+01,+4.000043E-08,+9.910000E+37
+1.990000E+01,-1.613974E-09,+9.910000E+37
+1.995000E+01,-1.819317E-08,+9.910000E+37
+2.000000E+01,-3.012454E-08,+9.910000E+37
+2.005000E+01,+3.346705E-08,+9.910000E+37
+2.010000E+01,-2.322267E-09,+9.910000E+37
+2.015000E+01,-3.796033E-09,+9.910000E+37
+2.020000E+01,-1.934009E-08,+9.910000E+37
+2.025000E+01,+3.869870E-08,+9.910000E+37
+2.030000E+01,-2.944003E-09,+9.910000E+37
+2.035000E+01,-1.361364E-08,+9.910000E+37
+2.040000E+01,-2.226650E-08,+9.910000E+37
+2.045000E+01,+3.399795E-08,+9.910000E+37
+2.050000E+01,+2.922987E-09,+9.910000E+37
+2.055000E+01,-2.203095E-08,+9.910000E+37
+2.060000E+01,-1.689501E-08,+9.910000E+37
+2.065000E+01,+3.964843E-08,+9.910000E+37
+2.070000E+01,+1.863559E-09,+9.910000E+37
+2.075000E+01,-1.646689E-09,+9.910000E+37
+2.080000E+01,-3.348383E-08,+9.910000E+37
+2.085000E+01,+3.974520E-08,+9.910000E+37
+2.090000E+01,+1.553346E-09,+9.910000E+37
+2.095000E+01,-4.998480E-09,+9.910000E+37
+2.100000E+01,-3.306170E-08,+9.910000E+37
+2.105000E+01,+3.943834E-08,+9.910000E+37
+2.110000E+01,+4.546115E-09,+9.910000E+37
+2.115000E+01,+4.349798E-09,+9.910000E+37
+2.120000E+01,-1.712863E-08,+9.910000E+37
+2.125000E+01,+6.311463E-08,+9.910000E+37
+2.130000E+01,+3.056947E-08,+9.910000E+37
+2.135000E+01,+2.705439E-08,+9.910000E+37
+2.140000E+01,+3.209936E-08,+9.910000E+37
+2.145000E+01,+1.225931E-07,+9.910000E+37
+2.150000E+01,+1.119186E-07,+9.910000E+37
+2.155000E+01,+1.410002E-07,+9.910000E+37
+2.160000E+01,+1.633059E-07,+9.910000E+37
+2.165000E+01,+2.792372E-07,+9.910000E+37
+2.170000E+01,+3.043905E-07,+9.910000E+37
+2.175000E+01,+3.634258E-07,+9.910000E+37
+2.180000E+01,+3.971090E-07,+9.910000E+37
+2.185000E+01,+5.234361E-07,+9.910000E+37
+2.190000E+01,+5.780600E-07,+9.910000E+37
+2.195000E+01,+6.541513E-07,+9.910000E+37
+2.200000E+01,+7.100193E-07,+9.910000E+37
+2.205000E+01,+8.189795E-07,+9.910000E+37
+2.210000E+01,+9.230136E-07,+9.910000E+37
+2.215000E+01,+1.005092E-06,+9.910000E+37
+2.220000E+01,+1.029275E-06,+9.910000E+37
+2.225000E+01,+1.169026E-06,+9.910000E+37
+2.230000E+01,+1.261131E-06,+9.910000E+37
+2.235000E+01,+1.351937E-06,+9.910000E+37
+2.240000E+01,+1.391090E-06,+9.910000E+37
+2.245000E+01,+1.521468E-06,+9.910000E+37
+2.250000E+01,+1.664756E-06,+9.910000E+37
+2.255000E+01,+1.759000E-06,+9.910000E+37
+2.260000E+01,+1.805992E-06,+9.910000E+37
+2.265000E+01,+1.959900E-06,+9.910000E+37
+2.270000E+01,+2.109011E-06,+9.910000E+37
+2.275000E+01,+2.228325E-06,+9.910000E+37
+2.280000E+01,+2.276694E-06,+9.910000E+37
+2.285000E+01,+2.471528E-06,+9.910000E+37
+2.290000E+01,+2.598960E-06,+9.910000E+37
+2.295000E+01,+2.698074E-06,+9.910000E+37
