
 Sweep settings: Start voltage: 19.5 V, end voltage:  23 V, sweep points: 70.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.950000E+01,-2.261379E-09,+9.910000E+37
+1.955000E+01,-2.668331E-08,+9.910000E+37
+1.960000E+01,+1.200567E-08,+9.910000E+37
+1.965000E+01,+1.508538E-08,+9.910000E+37
+1.970000E+01,+2.750291E-09,+9.910000E+37
+1.975000E+01,-3.541316E-08,+9.910000E+37
+1.980000E+01,+2.556340E-08,+9.910000E+37
+1.985000E+01,+5.688412E-09,+9.910000E+37
+1.990000E+01,-2.533529E-09,+9.910000E+37
+1.995000E+01,-4.008507E-08,+9.910000E+37
+2.000000E+01,+2.641420E-08,+9.910000E+37
+2.005000E+01,+3.223682E-09,+9.910000E+37
+2.010000E+01,-4.163429E-09,+9.910000E+37
+2.015000E+01,-3.699261E-08,+9.910000E+37
+2.020000E+01,+4.223159E-08,+9.910000E+37
+2.025000E+01,+6.575070E-10,+9.910000E+37
+2.030000E+01,-1.382042E-08,+9.910000E+37
+2.035000E+01,-2.323169E-08,+9.910000E+37
+2.040000E+01,+3.967823E-08,+9.910000E+37
+2.045000E+01,+3.938949E-09,+9.910000E+37
+2.050000E+01,-8.291487E-09,+9.910000E+37
+2.055000E+01,-3.741548E-08,+9.910000E+37
+2.060000E+01,+3.157892E-08,+9.910000E+37
+2.065000E+01,+2.066504E-08,+9.910000E+37
+2.070000E+01,-4.242549E-09,+9.910000E+37
+2.075000E+01,-3.481970E-08,+9.910000E+37
+2.080000E+01,+4.216005E-08,+9.910000E+37
+2.085000E+01,+1.329876E-08,+9.910000E+37
+2.090000E+01,+1.754636E-09,+9.910000E+37
+2.095000E+01,-3.041760E-09,+9.910000E+37
+2.100000E+01,+7.097442E-08,+9.910000E+37
+2.105000E+01,+4.712019E-08,+9.910000E+37
+2.110000E+01,+5.454811E-08,+9.910000E+37
+2.115000E+01,+6.503537E-08,+9.910000E+37
+2.120000E+01,+1.363298E-07,+9.910000E+37
+2.125000E+01,+1.425148E-07,+9.910000E+37
+2.130000E+01,+1.394669E-07,+9.910000E+37
+2.135000E+01,+2.218249E-07,+9.910000E+37
+2.140000E+01,+2.991867E-07,+9.910000E+37
+2.145000E+01,+3.176265E-07,+9.910000E+37
+2.150000E+01,+3.579423E-07,+9.910000E+37
+2.155000E+01,+4.705735E-07,+9.910000E+37
+2.160000E+01,+5.485932E-07,+9.910000E+37
+2.165000E+01,+5.971151E-07,+9.910000E+37
+2.170000E+01,+6.545111E-07,+9.910000E+37
+2.175000E+01,+7.391641E-07,+9.910000E+37
+2.180000E+01,+8.837640E-07,+9.910000E+37
+2.185000E+01,+9.463291E-07,+9.910000E+37
+2.190000E+01,+1.047487E-06,+9.910000E+37
+2.195000E+01,+1.127710E-06,+9.910000E+37
+2.200000E+01,+1.313804E-06,+9.910000E+37
+2.205000E+01,+1.373950E-06,+9.910000E+37
+2.210000E+01,+1.492640E-06,+9.910000E+37
+2.215000E+01,+1.662802E-06,+9.910000E+37
+2.220000E+01,+1.760513E-06,+9.910000E+37
+2.225000E+01,+1.912103E-06,+9.910000E+37
+2.230000E+01,+2.040401E-06,+9.910000E+37
+2.235000E+01,+2.261778E-06,+9.910000E+37
+2.240000E+01,+2.344772E-06,+9.910000E+37
+2.245000E+01,+2.529669E-06,+9.910000E+37
+2.250000E+01,+2.677183E-06,+9.910000E+37
+2.255000E+01,+2.932293E-06,+9.910000E+37
+2.260000E+01,+3.059241E-06,+9.910000E+37
+2.265000E+01,+3.258772E-06,+9.910000E+37
+2.270000E+01,+3.427506E-06,+9.910000E+37
+2.275000E+01,+3.704228E-06,+9.910000E+37
+2.280000E+01,+3.841034E-06,+9.910000E+37
+2.285000E+01,+4.079291E-06,+9.910000E+37
+2.290000E+01,+4.267736E-06,+9.910000E+37
+2.295000E+01,+4.494367E-06,+9.910000E+37
