
 Sweep settings: Start voltage: 10 V, end voltage:  22 V, sweep points: 240.0, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.000000E+01,-6.146298E-09,+9.910000E+37
+1.005000E+01,-6.721211E-09,+9.910000E+37
+1.010000E+01,-8.924840E-09,+9.910000E+37
+1.015000E+01,-3.450181E-09,+9.910000E+37
+1.020000E+01,+2.912646E-09,+9.910000E+37
+1.025000E+01,+3.221626E-09,+9.910000E+37
+1.030000E+01,-5.905614E-09,+9.910000E+37
+1.035000E+01,-6.854847E-11,+9.910000E+37
+1.040000E+01,+1.403830E-09,+9.910000E+37
+1.045000E+01,+3.266758E-09,+9.910000E+37
+1.050000E+01,+1.720669E-09,+9.910000E+37
+1.055000E+01,+4.079345E-09,+9.910000E+37
+1.060000E+01,-3.470057E-09,+9.910000E+37
+1.065000E+01,+3.969938E-10,+9.910000E+37
+1.070000E+01,+2.777634E-09,+9.910000E+37
+1.075000E+01,+1.948178E-08,+9.910000E+37
+1.080000E+01,+2.390753E-08,+9.910000E+37
+1.085000E+01,+1.861286E-08,+9.910000E+37
+1.090000E+01,+2.631886E-08,+9.910000E+37
+1.095000E+01,+4.284775E-08,+9.910000E+37
+1.100000E+01,+3.861244E-08,+9.910000E+37
+1.105000E+01,+3.762299E-08,+9.910000E+37
+1.110000E+01,+4.211411E-08,+9.910000E+37
+1.115000E+01,+3.825815E-08,+9.910000E+37
+1.120000E+01,+1.372820E-08,+9.910000E+37
+1.125000E+01,-7.290309E-09,+9.910000E+37
+1.130000E+01,-1.875153E-08,+9.910000E+37
+1.135000E+01,-1.352258E-08,+9.910000E+37
+1.140000E+01,-3.158971E-08,+9.910000E+37
+1.145000E+01,-3.152489E-08,+9.910000E+37
+1.150000E+01,-4.220355E-08,+9.910000E+37
+1.155000E+01,-3.584460E-08,+9.910000E+37
+1.160000E+01,-4.244206E-08,+9.910000E+37
+1.165000E+01,-3.408700E-08,+9.910000E+37
+1.170000E+01,-3.541992E-08,+9.910000E+37
+1.175000E+01,-2.580384E-08,+9.910000E+37
