After nitrogen cooling, Dark, BIAS 18V-24V
 Sweep settings: Start voltage: 19 V, end voltage:  23 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.900000E+01,+2.724252E-08,+9.910000E+37
+1.905000E+01,+9.987190E-08,+9.910000E+37
+1.910000E+01,-8.355305E-08,+9.910000E+37
+1.910000E+01,+6.640725E-08,+9.910000E+37
+1.915000E+01,-6.666876E-09,+9.910000E+37
+1.920000E+01,+2.850004E-08,+9.910000E+37
+1.925000E+01,+1.160061E-07,+9.910000E+37
+1.930000E+01,-6.272795E-08,+9.910000E+37
+1.930000E+01,+6.123945E-08,+9.910000E+37
+1.935000E+01,-5.495901E-09,+9.910000E+37
+1.940000E+01,+3.065056E-08,+9.910000E+37
+1.945000E+01,+1.101770E-07,+9.910000E+37
+1.950000E+01,-6.609951E-08,+9.910000E+37
+1.950000E+01,+5.131057E-08,+9.910000E+37
+1.955000E+01,+1.957462E-09,+9.910000E+37
+1.960000E+01,+4.552502E-08,+9.910000E+37
+1.965000E+01,+1.140027E-07,+9.910000E+37
+1.970000E+01,-6.895300E-08,+9.910000E+37
+1.970000E+01,+7.354832E-08,+9.910000E+37
+1.975000E+01,-3.459679E-09,+9.910000E+37
+1.980000E+01,+4.496919E-08,+9.910000E+37
+1.985000E+01,+1.066628E-07,+9.910000E+37
+1.990000E+01,-4.509905E-08,+9.910000E+37
+1.990000E+01,+3.467358E-09,+9.910000E+37
+1.995000E+01,+3.891262E-08,+9.910000E+37
+2.000000E+01,+3.688578E-08,+9.910000E+37
+2.005000E+01,+1.001612E-07,+9.910000E+37
+2.010000E+01,-2.905571E-08,+9.910000E+37
+2.010000E+01,+8.712978E-09,+9.910000E+37
+2.015000E+01,-1.234336E-07,+9.910000E+37
+2.020000E+01,+3.797781E-08,+9.910000E+37
+2.025000E+01,+1.095345E-07,+9.910000E+37
+2.030000E+01,-4.792367E-08,+9.910000E+37
+2.030000E+01,-1.076366E-08,+9.910000E+37
+2.035000E+01,+4.088895E-08,+9.910000E+37
+2.040000E+01,+4.421688E-08,+9.910000E+37
+2.045000E+01,+1.233113E-07,+9.910000E+37
+2.050000E+01,-4.310051E-08,+9.910000E+37
+2.050000E+01,+1.168563E-08,+9.910000E+37
+2.055000E+01,+5.679063E-08,+9.910000E+37
+2.060000E+01,+7.931046E-08,+9.910000E+37
+2.065000E+01,+7.512128E-08,+9.910000E+37
+2.070000E+01,-6.704894E-08,+9.910000E+37
+2.070000E+01,+4.211069E-08,+9.910000E+37
+2.075000E+01,+4.297734E-08,+9.910000E+37
+2.080000E+01,+5.512836E-08,+9.910000E+37
+2.085000E+01,+8.559193E-08,+9.910000E+37
+2.090000E+01,-6.311155E-08,+9.910000E+37
+2.090000E+01,+5.532566E-08,+9.910000E+37
+2.095000E+01,-1.076715E-07,+9.910000E+37
+2.100000E+01,+1.067236E-07,+9.910000E+37
+2.105000E+01,+8.684032E-08,+9.910000E+37
+2.110000E+01,-3.037997E-08,+9.910000E+37
+2.110000E+01,+5.535132E-08,+9.910000E+37
+2.115000E+01,+8.272643E-08,+9.910000E+37
+2.120000E+01,+1.021162E-07,+9.910000E+37
+2.125000E+01,+1.100356E-07,+9.910000E+37
+2.130000E+01,+1.127394E-08,+9.910000E+37
+2.130000E+01,+1.257284E-07,+9.910000E+37
+2.135000E+01,+1.279538E-07,+9.910000E+37
+2.140000E+01,+1.046548E-07,+9.910000E+37
+2.145000E+01,+1.996247E-07,+9.910000E+37
+2.150000E+01,+7.887743E-08,+9.910000E+37
+2.150000E+01,+1.677752E-07,+9.910000E+37
+2.155000E+01,+2.011832E-07,+9.910000E+37
+2.160000E+01,+1.800915E-07,+9.910000E+37
+2.165000E+01,+2.569246E-07,+9.910000E+37
+2.170000E+01,+1.789076E-07,+9.910000E+37
+2.170000E+01,+2.446130E-07,+9.910000E+37
+2.175000E+01,+2.811660E-07,+9.910000E+37
+2.180000E+01,+2.829011E-07,+9.910000E+37
+2.185000E+01,+3.498226E-07,+9.910000E+37
+2.190000E+01,+2.824322E-07,+9.910000E+37
+2.190000E+01,+3.557566E-07,+9.910000E+37
+2.195000E+01,+3.811013E-07,+9.910000E+37
+2.200000E+01,+3.993522E-07,+9.910000E+37
+2.205000E+01,+4.599186E-07,+9.910000E+37
+2.210000E+01,+4.048856E-07,+9.910000E+37
+2.210000E+01,+4.837023E-07,+9.910000E+37
+2.215000E+01,+4.965643E-07,+9.910000E+37
+2.220000E+01,+5.476236E-07,+9.910000E+37
+2.225000E+01,+6.265224E-07,+9.910000E+37
+2.230000E+01,+5.710443E-07,+9.910000E+37
+2.230000E+01,+6.837679E-07,+9.910000E+37
+2.235000E+01,+5.935835E-07,+9.910000E+37
+2.240000E+01,+2.066982E-07,+9.910000E+37
+2.245000E+01,+1.007208E-06,+9.910000E+37
+2.250000E+01,+7.247278E-07,+9.910000E+37
+2.250000E+01,+7.122278E-07,+9.910000E+37
+2.255000E+01,+8.416023E-07,+9.910000E+37
+2.260000E+01,+1.034310E-06,+9.910000E+37
+2.265000E+01,+8.471818E-07,+9.910000E+37
+2.270000E+01,+9.214135E-07,+9.910000E+37
+2.270000E+01,+8.868982E-07,+9.910000E+37
+2.275000E+01,+1.043568E-06,+9.910000E+37
+2.280000E+01,+1.069430E-06,+9.910000E+37
+2.285000E+01,+1.091952E-06,+9.910000E+37
+2.290000E+01,+1.126124E-06,+9.910000E+37
+2.290000E+01,+1.148570E-06,+9.910000E+37
+2.295000E+01,+1.194607E-06,+9.910000E+37
+2.300000E+01,+1.779096E-06,+9.910000E+37
