After nitrogen cooling, Dark, BIAS 18V-24V
 Sweep settings: Start voltage: 19 V, end voltage:  23 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.900000E+01,-3.437954E-08,+9.910000E+37
+1.905000E+01,-8.570905E-08,+9.910000E+37
+1.910000E+01,-9.151797E-09,+9.910000E+37
+1.910000E+01,+7.270768E-08,+9.910000E+37
+1.915000E+01,-8.917842E-08,+9.910000E+37
+1.920000E+01,-6.505036E-09,+9.910000E+37
+1.925000E+01,-5.851408E-08,+9.910000E+37
+1.930000E+01,-3.383527E-08,+9.910000E+37
+1.930000E+01,+6.839876E-08,+9.910000E+37
+1.935000E+01,-1.087723E-07,+9.910000E+37
+1.940000E+01,-8.462317E-09,+9.910000E+37
+1.945000E+01,-4.826226E-08,+9.910000E+37
+1.950000E+01,-1.496820E-08,+9.910000E+37
+1.950000E+01,+7.219310E-08,+9.910000E+37
+1.955000E+01,-1.374682E-07,+9.910000E+37
+1.960000E+01,-9.608209E-09,+9.910000E+37
+1.965000E+01,-4.350012E-08,+9.910000E+37
+1.970000E+01,-5.578507E-08,+9.910000E+37
+1.970000E+01,+7.175684E-08,+9.910000E+37
+1.975000E+01,-1.062952E-07,+9.910000E+37
+1.980000E+01,-5.690211E-09,+9.910000E+37
+1.985000E+01,-4.589376E-08,+9.910000E+37
+1.990000E+01,-4.119937E-08,+9.910000E+37
+1.990000E+01,+6.706603E-08,+9.910000E+37
+1.995000E+01,-6.937064E-08,+9.910000E+37
+2.000000E+01,-5.497261E-08,+9.910000E+37
+2.005000E+01,-4.443692E-08,+9.910000E+37
+2.010000E+01,-4.190462E-08,+9.910000E+37
+2.010000E+01,+7.539896E-08,+9.910000E+37
+2.015000E+01,-7.312993E-08,+9.910000E+37
+2.020000E+01,-6.686427E-08,+9.910000E+37
+2.025000E+01,-2.941576E-08,+9.910000E+37
+2.030000E+01,-4.717329E-08,+9.910000E+37
+2.030000E+01,+7.865454E-08,+9.910000E+37
+2.035000E+01,-6.851032E-08,+9.910000E+37
+2.040000E+01,-7.073415E-08,+9.910000E+37
+2.045000E+01,-3.276561E-08,+9.910000E+37
+2.050000E+01,-2.250881E-08,+9.910000E+37
+2.050000E+01,+7.023644E-08,+9.910000E+37
+2.055000E+01,-7.830380E-08,+9.910000E+37
+2.060000E+01,-6.109512E-08,+9.910000E+37
+2.065000E+01,-4.491220E-08,+9.910000E+37
+2.070000E+01,+7.792900E-09,+9.910000E+37
+2.070000E+01,+5.413422E-08,+9.910000E+37
+2.075000E+01,-1.131096E-07,+9.910000E+37
+2.080000E+01,-4.392991E-08,+9.910000E+37
+2.085000E+01,-2.793962E-08,+9.910000E+37
+2.090000E+01,-9.835880E-09,+9.910000E+37
+2.090000E+01,+5.244358E-08,+9.910000E+37
+2.095000E+01,-1.115713E-07,+9.910000E+37
+2.100000E+01,-2.002357E-08,+9.910000E+37
+2.105000E+01,-4.359535E-08,+9.910000E+37
+2.110000E+01,+6.973069E-09,+9.910000E+37
+2.110000E+01,+4.981792E-08,+9.910000E+37
+2.115000E+01,-9.744163E-08,+9.910000E+37
+2.120000E+01,-2.984898E-08,+9.910000E+37
+2.125000E+01,-2.871146E-08,+9.910000E+37
+2.130000E+01,-7.204993E-09,+9.910000E+37
+2.130000E+01,+4.190809E-08,+9.910000E+37
+2.135000E+01,+6.628986E-08,+9.910000E+37
+2.140000E+01,-2.821608E-08,+9.910000E+37
+2.145000E+01,-9.368299E-09,+9.910000E+37
+2.150000E+01,-6.191200E-08,+9.910000E+37
+2.150000E+01,+7.559252E-08,+9.910000E+37
+2.155000E+01,-1.188133E-07,+9.910000E+37
+2.160000E+01,-4.816637E-08,+9.910000E+37
+2.165000E+01,+2.733073E-09,+9.910000E+37
+2.170000E+01,-5.495559E-08,+9.910000E+37
+2.170000E+01,+7.195107E-08,+9.910000E+37
+2.175000E+01,-6.906240E-08,+9.910000E+37
+2.180000E+01,-3.702305E-08,+9.910000E+37
+2.185000E+01,+2.746892E-08,+9.910000E+37
+2.190000E+01,-1.536685E-08,+9.910000E+37
+2.190000E+01,+9.651145E-08,+9.910000E+37
+2.195000E+01,-5.859191E-08,+9.910000E+37
+2.200000E+01,+1.613482E-08,+9.910000E+37
+2.205000E+01,+5.177488E-08,+9.910000E+37
+2.210000E+01,+1.409867E-08,+9.910000E+37
+2.210000E+01,+1.281193E-07,+9.910000E+37
+2.215000E+01,+1.994045E-08,+9.910000E+37
+2.220000E+01,+9.658037E-08,+9.910000E+37
+2.225000E+01,+9.091428E-08,+9.910000E+37
+2.230000E+01,+1.315055E-07,+9.910000E+37
+2.230000E+01,+2.344664E-07,+9.910000E+37
+2.235000E+01,+1.366660E-07,+9.910000E+37
+2.240000E+01,+2.397724E-07,+9.910000E+37
+2.245000E+01,+3.588706E-07,+9.910000E+37
+2.250000E+01,+2.775224E-07,+9.910000E+37
+2.250000E+01,+3.783496E-07,+9.910000E+37
+2.255000E+01,+3.105082E-07,+9.910000E+37
+2.260000E+01,+4.831546E-07,+9.910000E+37
+2.265000E+01,+4.080380E-07,+9.910000E+37
+2.270000E+01,+2.527644E-07,+9.910000E+37
+2.270000E+01,+5.734097E-07,+9.910000E+37
+2.275000E+01,+6.021383E-07,+9.910000E+37
+2.280000E+01,+1.015254E-06,+9.910000E+37
+2.285000E+01,+1.006256E-06,+9.910000E+37
+2.290000E+01,+8.020263E-07,+9.910000E+37
+2.290000E+01,+1.040259E-06,+9.910000E+37
+2.295000E+01,+8.962438E-07,+9.910000E+37
+2.300000E+01,+1.047050E-06,+9.910000E+37
