
 Sweep settings: Start voltage: 20 V, end voltage:  23 V, sweep points: 200, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.000000E+01,-1.666229E-07,+9.910000E+37
+2.000000E+01,-7.419162E-09,+9.910000E+37
+2.005000E+01,-5.248414E-08,+9.910000E+37
+2.005000E+01,+5.411315E-08,+9.910000E+37
+2.005000E+01,-1.114947E-08,+9.910000E+37
+2.010000E+01,-8.964511E-08,+9.910000E+37
+2.010000E+01,+7.776367E-08,+9.910000E+37
+2.010000E+01,-1.537786E-08,+9.910000E+37
+2.010000E+01,-8.961005E-09,+9.910000E+37
+2.015000E+01,-4.626830E-08,+9.910000E+37
+2.015000E+01,+4.604343E-08,+9.910000E+37
+2.015000E+01,-4.230165E-09,+9.910000E+37
+2.020000E+01,-1.075280E-07,+9.910000E+37
+2.020000E+01,+6.893664E-08,+9.910000E+37
+2.020000E+01,+4.127005E-09,+9.910000E+37
+2.025000E+01,-1.083635E-07,+9.910000E+37
+2.025000E+01,+5.640485E-08,+9.910000E+37
+2.025000E+01,-1.527479E-08,+9.910000E+37
+2.025000E+01,-1.245047E-09,+9.910000E+37
+2.030000E+01,-9.181921E-08,+9.910000E+37
+2.030000E+01,+7.201337E-08,+9.910000E+37
+2.030000E+01,+8.751977E-09,+9.910000E+37
+2.035000E+01,-7.539412E-08,+9.910000E+37
+2.035000E+01,+4.459210E-08,+9.910000E+37
+2.035000E+01,-4.307509E-09,+9.910000E+37
+2.040000E+01,-1.097582E-07,+9.910000E+37
+2.040000E+01,+8.198410E-08,+9.910000E+37
+2.040000E+01,-7.731300E-09,+9.910000E+37
+2.040000E+01,-7.500372E-09,+9.910000E+37
+2.045000E+01,-1.194155E-07,+9.910000E+37
+2.045000E+01,+6.883760E-08,+9.910000E+37
+2.045000E+01,+5.615328E-09,+9.910000E+37
+2.050000E+01,-1.223501E-07,+9.910000E+37
+2.050000E+01,+7.175626E-08,+9.910000E+37
+2.050000E+01,+1.143393E-08,+9.910000E+37
+2.055000E+01,-7.768269E-08,+9.910000E+37
+2.055000E+01,+3.728626E-08,+9.910000E+37
+2.055000E+01,-9.697581E-09,+9.910000E+37
+2.055000E+01,+1.991145E-09,+9.910000E+37
+2.060000E+01,-7.452247E-08,+9.910000E+37
+2.060000E+01,+6.907849E-08,+9.910000E+37
+2.060000E+01,+1.365192E-09,+9.910000E+37
+2.065000E+01,-1.212219E-07,+9.910000E+37
+2.065000E+01,+6.568816E-08,+9.910000E+37
+2.065000E+01,+2.462380E-09,+9.910000E+37
+2.070000E+01,-8.402583E-08,+9.910000E+37
+2.070000E+01,+4.776361E-08,+9.910000E+37
+2.070000E+01,+6.629890E-09,+9.910000E+37
+2.070000E+01,-4.749892E-09,+9.910000E+37
+2.075000E+01,-1.015448E-07,+9.910000E+37
+2.075000E+01,+8.152252E-08,+9.910000E+37
+2.075000E+01,+7.585125E-09,+9.910000E+37
+2.080000E+01,-1.066485E-07,+9.910000E+37
+2.080000E+01,+7.264158E-08,+9.910000E+37
+2.080000E+01,+8.433740E-09,+9.910000E+37
+2.085000E+01,-1.115316E-07,+9.910000E+37
+2.085000E+01,+6.520992E-08,+9.910000E+37
+2.085000E+01,-1.047070E-08,+9.910000E+37
+2.085000E+01,+4.993133E-09,+9.910000E+37
+2.090000E+01,-7.225065E-08,+9.910000E+37
+2.090000E+01,+5.471984E-08,+9.910000E+37
+2.090000E+01,-1.613164E-09,+9.910000E+37
+2.095000E+01,-1.079281E-07,+9.910000E+37
+2.095000E+01,+8.289089E-08,+9.910000E+37
+2.095000E+01,+2.756362E-09,+9.910000E+37
+2.100000E+01,-1.266201E-07,+9.910000E+37
+2.100000E+01,+6.721968E-08,+9.910000E+37
+2.100000E+01,+1.185359E-08,+9.910000E+37
+2.100000E+01,-9.462292E-09,+9.910000E+37
+2.105000E+01,-9.261394E-08,+9.910000E+37
+2.105000E+01,+8.020550E-08,+9.910000E+37
+2.105000E+01,+4.846247E-09,+9.910000E+37
+2.110000E+01,-7.375899E-08,+9.910000E+37
