After nitrogen cooling, LED 5.6V, BIAS 20V-22.5V
 Sweep settings: Start voltage: 20 V, end voltage:  22.5 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.000000E+01,-4.467346E-08,+9.910000E+37
+2.005000E+01,-1.185789E-07,+9.910000E+37
+2.005000E+01,+7.245181E-08,+9.910000E+37
+2.010000E+01,-1.113914E-07,+9.910000E+37
+2.010000E+01,+5.980731E-08,+9.910000E+37
+2.015000E+01,-7.225876E-08,+9.910000E+37
+2.015000E+01,+4.306320E-08,+9.910000E+37
+2.015000E+01,+8.943581E-09,+9.910000E+37
+2.020000E+01,-1.375844E-07,+9.910000E+37
+2.025000E+01,-6.423352E-08,+9.910000E+37
+2.025000E+01,+8.093868E-08,+9.910000E+37
+2.030000E+01,-1.028988E-07,+9.910000E+37
+2.030000E+01,+5.812968E-08,+9.910000E+37
+2.035000E+01,-6.834613E-08,+9.910000E+37
+2.035000E+01,+4.138565E-08,+9.910000E+37
+2.040000E+01,-1.084639E-07,+9.910000E+37
+2.040000E+01,+6.793547E-08,+9.910000E+37
+2.040000E+01,+9.006575E-09,+9.910000E+37
+2.045000E+01,-1.261308E-07,+9.910000E+37
+2.050000E+01,-6.244584E-08,+9.910000E+37
+2.050000E+01,+8.012507E-08,+9.910000E+37
+2.055000E+01,-7.302729E-08,+9.910000E+37
+2.055000E+01,+3.530150E-08,+9.910000E+37
+2.060000E+01,-1.173741E-07,+9.910000E+37
+2.060000E+01,+6.513654E-08,+9.910000E+37
+2.065000E+01,-1.042455E-07,+9.910000E+37
+2.065000E+01,+6.636049E-08,+9.910000E+37
+2.070000E+01,-6.652755E-08,+9.910000E+37
+2.070000E+01,+5.018198E-08,+9.910000E+37
+2.075000E+01,-1.190783E-07,+9.910000E+37
+2.075000E+01,+5.903705E-08,+9.910000E+37
+2.080000E+01,-1.185756E-07,+9.910000E+37
+2.080000E+01,+6.648990E-08,+9.910000E+37
+2.085000E+01,-8.862028E-08,+9.910000E+37
+2.085000E+01,+5.649829E-08,+9.910000E+37
+2.090000E+01,-5.806638E-08,+9.910000E+37
+2.090000E+01,+4.082123E-08,+9.910000E+37
+2.095000E+01,+1.008021E-08,+9.910000E+37
+2.095000E+01,+5.193000E-08,+9.910000E+37
+2.100000E+01,+2.682205E-07,+9.910000E+37
+2.100000E+01,+2.732288E-07,+9.910000E+37
+2.105000E+01,+8.280595E-07,+9.910000E+37
+2.105000E+01,+9.182093E-07,+9.910000E+37
+2.110000E+01,+1.408662E-06,+9.910000E+37
+2.110000E+01,+1.441313E-06,+9.910000E+37
+2.115000E+01,+2.348393E-06,+9.910000E+37
+2.115000E+01,+2.353121E-06,+9.910000E+37
+2.120000E+01,+3.620851E-06,+9.910000E+37
+2.120000E+01,+3.602314E-06,+9.910000E+37
+2.125000E+01,+5.001119E-06,+9.910000E+37
+2.125000E+01,+5.027423E-06,+9.910000E+37
+2.130000E+01,+6.098627E-06,+9.910000E+37
+2.130000E+01,+6.087811E-06,+9.910000E+37
+2.135000E+01,+7.845281E-06,+9.910000E+37
+2.135000E+01,+7.870130E-06,+9.910000E+37
+2.140000E+01,+9.749443E-06,+9.910000E+37
+2.140000E+01,+9.718497E-06,+9.910000E+37
+2.145000E+01,+1.081803E-05,+9.910000E+37
+2.145000E+01,+1.076115E-05,+9.910000E+37
+2.150000E+01,+1.307835E-05,+9.910000E+37
+2.150000E+01,+1.312395E-05,+9.910000E+37
+2.155000E+01,+1.535361E-05,+9.910000E+37
+2.155000E+01,+1.524033E-05,+9.910000E+37
+2.160000E+01,+1.768624E-05,+9.910000E+37
+2.160000E+01,+1.780509E-05,+9.910000E+37
+2.165000E+01,+1.935922E-05,+9.910000E+37
+2.165000E+01,+1.930438E-05,+9.910000E+37
+2.170000E+01,+2.194733E-05,+9.910000E+37
+2.170000E+01,+2.197679E-05,+9.910000E+37
+2.175000E+01,+2.440700E-05,+9.910000E+37
+2.175000E+01,+2.431022E-05,+9.910000E+37
+2.180000E+01,+2.713841E-05,+9.910000E+37
+2.180000E+01,+2.725672E-05,+9.910000E+37
+2.185000E+01,+2.912975E-05,+9.910000E+37
+2.185000E+01,+2.907549E-05,+9.910000E+37
+2.190000E+01,+3.205492E-05,+9.910000E+37
+2.190000E+01,+3.221918E-05,+9.910000E+37
+2.195000E+01,+3.522040E-05,+9.910000E+37
+2.195000E+01,+3.502884E-05,+9.910000E+37
+2.200000E+01,+3.833825E-05,+9.910000E+37
+2.200000E+01,+3.840951E-05,+9.910000E+37
+2.205000E+01,+4.046019E-05,+9.910000E+37
+2.205000E+01,+4.033429E-05,+9.910000E+37
+2.210000E+01,+4.364531E-05,+9.910000E+37
+2.210000E+01,+4.376123E-05,+9.910000E+37
+2.215000E+01,+4.708166E-05,+9.910000E+37
+2.215000E+01,+4.693967E-05,+9.910000E+37
+2.220000E+01,+4.921327E-05,+9.910000E+37
+2.220000E+01,+4.928698E-05,+9.910000E+37
+2.225000E+01,+5.261616E-05,+9.910000E+37
+2.225000E+01,+5.251335E-05,+9.910000E+37
+2.230000E+01,+5.609806E-05,+9.910000E+37
+2.230000E+01,+5.616499E-05,+9.910000E+37
+2.235000E+01,+5.957442E-05,+9.910000E+37
+2.235000E+01,+5.945150E-05,+9.910000E+37
+2.240000E+01,+6.186117E-05,+9.910000E+37
+2.240000E+01,+6.192169E-05,+9.910000E+37
+2.245000E+01,+6.549961E-05,+9.910000E+37
+2.245000E+01,+6.551808E-05,+9.910000E+37
+2.250000E+01,+6.916233E-05,+9.910000E+37
+2.250000E+01,+6.933669E-05,+9.910000E+37
