After nitrogen cooling, LED 6.5V, BIAS 18V-24V
 Sweep settings: Start voltage: 18 V, end voltage:  24 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.800000E+01,-2.424681E-08,+9.910000E+37
+1.805000E+01,-1.268512E-07,+9.910000E+37
+1.810000E+01,-3.395151E-09,+9.910000E+37
+1.820000E+01,-6.678250E-07,+9.910000E+37
+1.825000E+01,-4.897469E-07,+9.910000E+37
+1.830000E+01,+1.995782E-07,+9.910000E+37
+1.835000E+01,-3.592702E-08,+9.910000E+37
+1.840000E+01,-1.068499E-07,+9.910000E+37
+1.850000E+01,-6.667062E-07,+9.910000E+37
+1.855000E+01,-5.379884E-07,+9.910000E+37
+1.860000E+01,-5.065855E-07,+9.910000E+37
+1.865000E+01,+1.995987E-07,+9.910000E+37
+1.870000E+01,-3.176275E-08,+9.910000E+37
+1.880000E+01,-6.764904E-07,+9.910000E+37
+1.885000E+01,+1.877422E-08,+9.910000E+37
+1.890000E+01,-1.244071E-08,+9.910000E+37
+1.895000E+01,-5.176912E-08,+9.910000E+37
+1.900000E+01,-6.195715E-08,+9.910000E+37
+1.910000E+01,-2.475710E-07,+9.910000E+37
+1.915000E+01,+1.852657E-07,+9.910000E+37
+1.920000E+01,-2.434259E-08,+9.910000E+37
+1.925000E+01,-9.745771E-08,+9.910000E+37
+1.930000E+01,-7.969690E-08,+9.910000E+37
+1.940000E+01,-3.257329E-07,+9.910000E+37
+1.945000E+01,+2.056974E-07,+9.910000E+37
+1.950000E+01,-5.451110E-08,+9.910000E+37
+1.955000E+01,-5.716490E-08,+9.910000E+37
+1.960000E+01,-1.256500E-08,+9.910000E+37
+1.970000E+01,-7.274734E-07,+9.910000E+37
+1.975000E+01,-5.633711E-07,+9.910000E+37
+1.980000E+01,+1.464241E-07,+9.910000E+37
+1.985000E+01,-5.868318E-09,+9.910000E+37
+1.990000E+01,-8.024277E-08,+9.910000E+37
+2.000000E+01,-4.713713E-07,+9.910000E+37
+2.005000E+01,-7.088720E-08,+9.910000E+37
+2.010000E+01,-3.755287E-08,+9.910000E+37
+2.015000E+01,-1.038894E-08,+9.910000E+37
+2.020000E+01,-7.710624E-08,+9.910000E+37
+2.030000E+01,-6.920353E-07,+9.910000E+37
+2.035000E+01,+5.501856E-08,+9.910000E+37
+2.040000E+01,+1.216669E-08,+9.910000E+37
+2.045000E+01,-4.486203E-08,+9.910000E+37
+2.050000E+01,-6.814040E-08,+9.910000E+37
+2.060000E+01,-2.920191E-07,+9.910000E+37
+2.065000E+01,+1.987469E-07,+9.910000E+37
+2.070000E+01,-1.429647E-08,+9.910000E+37
+2.075000E+01,-9.053131E-08,+9.910000E+37
+2.080000E+01,-4.470750E-08,+9.910000E+37
+2.090000E+01,-9.090685E-08,+9.910000E+37
+2.095000E+01,+1.716550E-07,+9.910000E+37
+2.100000E+01,+9.070553E-07,+9.910000E+37
+2.105000E+01,+2.605426E-06,+9.910000E+37
+2.110000E+01,+4.061939E-06,+9.910000E+37
+2.120000E+01,+1.001660E-05,+9.910000E+37
+2.125000E+01,+1.350020E-05,+9.910000E+37
+2.130000E+01,+1.597311E-05,+9.910000E+37
+2.135000E+01,+2.063608E-05,+9.910000E+37
+2.140000E+01,+2.551376E-05,+9.910000E+37
+2.150000E+01,+3.440962E-05,+9.910000E+37
+2.155000E+01,+4.037783E-05,+9.910000E+37
+2.160000E+01,+4.668907E-05,+9.910000E+37
+2.165000E+01,+5.081589E-05,+9.910000E+37
+2.170000E+01,+5.751135E-05,+9.910000E+37
+2.180000E+01,+7.105042E-05,+9.910000E+37
+2.185000E+01,+7.603779E-05,+9.910000E+37
+2.190000E+01,+8.393356E-05,+9.910000E+37
+2.195000E+01,+9.156656E-05,+9.910000E+37
+2.200000E+01,+9.964970E-05,+9.910000E+37
+2.210000E+01,+1.128749E-04,+9.910000E+37
+2.215000E+01,+1.215709E-04,+9.910000E+37
+2.220000E+01,+1.273779E-04,+9.910000E+37
+2.225000E+01,+1.359374E-04,+9.910000E+37
+2.230000E+01,+1.447861E-04,+9.910000E+37
+2.240000E+01,+1.598497E-04,+9.910000E+37
+2.245000E+01,+1.692989E-04,+9.910000E+37
+2.250000E+01,+1.783971E-04,+9.910000E+37
+2.255000E+01,+1.881684E-04,+9.910000E+37
+2.260000E+01,+1.946645E-04,+9.910000E+37
+2.270000E+01,+2.140887E-04,+9.910000E+37
+2.275000E+01,+2.236030E-04,+9.910000E+37
+2.280000E+01,+2.303955E-04,+9.910000E+37
+2.285000E+01,+2.406687E-04,+9.910000E+37
+2.290000E+01,+2.498976E-04,+9.910000E+37
+2.300000E+01,+2.676705E-04,+9.910000E+37
+2.305000E+01,+2.780050E-04,+9.910000E+37
+2.310000E+01,+2.887029E-04,+9.910000E+37
+2.315000E+01,+2.959449E-04,+9.910000E+37
+2.320000E+01,+3.061007E-04,+9.910000E+37
+2.330000E+01,+3.278374E-04,+9.910000E+37
+2.335000E+01,+3.352154E-04,+9.910000E+37
+2.340000E+01,+3.461713E-04,+9.910000E+37
+2.345000E+01,+3.570204E-04,+9.910000E+37
+2.350000E+01,+3.676898E-04,+9.910000E+37
+2.360000E+01,+3.866729E-04,+9.910000E+37
+2.365000E+01,+3.979214E-04,+9.910000E+37
+2.370000E+01,+4.059299E-04,+9.910000E+37
+2.375000E+01,+4.172316E-04,+9.910000E+37
+2.380000E+01,+4.285850E-04,+9.910000E+37
+2.390000E+01,+4.480077E-04,+9.910000E+37
+2.395000E+01,+4.600320E-04,+9.910000E+37
+2.400000E+01,+4.711558E-04,+9.910000E+37
