After nitrogen cooling, Dark, BIAS 18V-24V
 Sweep settings: Start voltage: 17 V, end voltage:  20 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.700000E+01,-7.218546E-08,+9.910000E+37
+1.705000E+01,-2.702699E-08,+9.910000E+37
+1.705000E+01,+4.993797E-09,+9.910000E+37
+1.710000E+01,-1.008576E-07,+9.910000E+37
+1.710000E+01,+8.647774E-08,+9.910000E+37
+1.715000E+01,-8.166690E-08,+9.910000E+37
+1.720000E+01,-6.233252E-08,+9.910000E+37
+1.720000E+01,+7.166356E-08,+9.910000E+37
+1.725000E+01,-1.031210E-07,+9.910000E+37
+1.725000E+01,+7.515995E-08,+9.910000E+37
+1.730000E+01,-1.028032E-07,+9.910000E+37
+1.735000E+01,+1.647060E-08,+9.910000E+37
+1.735000E+01,+4.205762E-08,+9.910000E+37
+1.740000E+01,-9.982083E-08,+9.910000E+37
+1.740000E+01,+7.075847E-08,+9.910000E+37
+1.745000E+01,+6.448170E-08,+9.910000E+37
+1.750000E+01,-4.619618E-08,+9.910000E+37
+1.750000E+01,+6.160988E-08,+9.910000E+37
+1.755000E+01,-6.040231E-08,+9.910000E+37
+1.755000E+01,+4.451311E-08,+9.910000E+37
+1.760000E+01,-1.031340E-07,+9.910000E+37
+1.765000E+01,-3.676291E-08,+9.910000E+37
+1.765000E+01,+7.833280E-08,+9.910000E+37
+1.770000E+01,-1.290993E-07,+9.910000E+37
+1.770000E+01,+6.280953E-08,+9.910000E+37
+1.775000E+01,-6.654772E-08,+9.910000E+37
+1.780000E+01,-5.857321E-08,+9.910000E+37
+1.780000E+01,+7.404295E-08,+9.910000E+37
+1.785000E+01,-1.092063E-07,+9.910000E+37
+1.785000E+01,+6.474367E-08,+9.910000E+37
+1.790000E+01,-6.627241E-08,+9.910000E+37
+1.795000E+01,-7.488754E-08,+9.910000E+37
+1.795000E+01,+7.344922E-08,+9.910000E+37
+1.800000E+01,-1.136059E-07,+9.910000E+37
+1.800000E+01,+5.793810E-08,+9.910000E+37
+1.805000E+01,-1.231718E-07,+9.910000E+37
+1.810000E+01,+1.121081E-07,+9.910000E+37
+1.810000E+01,+2.920026E-08,+9.910000E+37
+1.815000E+01,-1.007424E-07,+9.910000E+37
+1.815000E+01,+7.087661E-08,+9.910000E+37
+1.820000E+01,-1.156860E-07,+9.910000E+37
+1.825000E+01,-4.851233E-08,+9.910000E+37
+1.825000E+01,+6.860284E-08,+9.910000E+37
+1.830000E+01,-7.212242E-08,+9.910000E+37
+1.830000E+01,+4.589337E-08,+9.910000E+37
+1.835000E+01,-1.047843E-07,+9.910000E+37
+1.840000E+01,-4.018367E-08,+9.910000E+37
+1.840000E+01,+7.578805E-08,+9.910000E+37
+1.845000E+01,-8.464555E-08,+9.910000E+37
+1.845000E+01,+4.384750E-08,+9.910000E+37
+1.850000E+01,-9.244902E-08,+9.910000E+37
+1.855000E+01,-3.739435E-08,+9.910000E+37
+1.855000E+01,+6.761770E-08,+9.910000E+37
+1.860000E+01,-9.334755E-08,+9.910000E+37
+1.860000E+01,+7.127942E-08,+9.910000E+37
+1.865000E+01,-7.372100E-08,+9.910000E+37
+1.870000E+01,-7.862885E-08,+9.910000E+37
+1.870000E+01,+7.770082E-08,+9.910000E+37
+1.875000E+01,-1.267824E-07,+9.910000E+37
+1.875000E+01,+6.612912E-08,+9.910000E+37
+1.880000E+01,-1.152159E-07,+9.910000E+37
+1.885000E+01,+6.776214E-09,+9.910000E+37
+1.885000E+01,+6.276863E-08,+9.910000E+37
+1.890000E+01,-9.695604E-08,+9.910000E+37
+1.890000E+01,+7.539144E-08,+9.910000E+37
+1.895000E+01,-1.157454E-07,+9.910000E+37
+1.900000E+01,-5.778246E-08,+9.910000E+37
+1.900000E+01,+8.447410E-08,+9.910000E+37
+1.905000E+01,-8.615276E-08,+9.910000E+37
+1.905000E+01,+4.260282E-08,+9.910000E+37
+1.910000E+01,-1.021948E-07,+9.910000E+37
+1.915000E+01,-4.658660E-08,+9.910000E+37
+1.915000E+01,+7.657721E-08,+9.910000E+37
+1.920000E+01,-7.726653E-08,+9.910000E+37
+1.920000E+01,+3.580306E-08,+9.910000E+37
+1.925000E+01,-9.678706E-08,+9.910000E+37
+1.930000E+01,-4.485079E-08,+9.910000E+37
+1.930000E+01,+8.256201E-08,+9.910000E+37
+1.935000E+01,+5.680828E-08,+9.910000E+37
+1.935000E+01,+5.723482E-08,+9.910000E+37
+1.940000E+01,-7.076111E-08,+9.910000E+37
+1.945000E+01,-6.314700E-08,+9.910000E+37
+1.945000E+01,+7.358904E-08,+9.910000E+37
+1.950000E+01,-1.020876E-07,+9.910000E+37
+1.950000E+01,+5.554782E-08,+9.910000E+37
+1.955000E+01,-1.003014E-07,+9.910000E+37
+1.960000E+01,-5.456045E-09,+9.910000E+37
+1.960000E+01,+5.560999E-08,+9.910000E+37
+1.965000E+01,-1.108410E-07,+9.910000E+37
+1.965000E+01,+6.798346E-08,+9.910000E+37
+1.970000E+01,-9.817076E-08,+9.910000E+37
+1.975000E+01,-4.199955E-08,+9.910000E+37
+1.975000E+01,+7.253563E-08,+9.910000E+37
+1.980000E+01,-8.320057E-08,+9.910000E+37
+1.980000E+01,+4.484080E-08,+9.910000E+37
+1.985000E+01,-1.223545E-07,+9.910000E+37
+1.990000E+01,-2.713244E-08,+9.910000E+37
+1.990000E+01,+7.375561E-08,+9.910000E+37
+1.995000E+01,-6.354955E-08,+9.910000E+37
+1.995000E+01,+4.208708E-08,+9.910000E+37
