After nitrogen cooling, Dark, BIAS 18V-24V
 Sweep settings: Start voltage: 18 V, end voltage:  22 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.800000E+01,-4.480595E-08,+9.910000E+37
+1.805000E+01,+4.614437E-09,+9.910000E+37
+1.810000E+01,-3.484627E-08,+9.910000E+37
+1.810000E+01,+5.096737E-08,+9.910000E+37
+1.815000E+01,-9.432999E-08,+9.910000E+37
+1.820000E+01,-1.197501E-08,+9.910000E+37
+1.825000E+01,-3.059920E-08,+9.910000E+37
+1.830000E+01,-5.299498E-09,+9.910000E+37
+1.830000E+01,+4.289777E-08,+9.910000E+37
+1.835000E+01,-1.159875E-07,+9.910000E+37
+1.840000E+01,-3.503963E-08,+9.910000E+37
+1.845000E+01,+2.605600E-08,+9.910000E+37
+1.850000E+01,-4.203260E-08,+9.910000E+37
+1.850000E+01,+6.085841E-08,+9.910000E+37
+1.855000E+01,-1.117360E-07,+9.910000E+37
+1.860000E+01,-4.443217E-08,+9.910000E+37
+1.865000E+01,+1.035123E-08,+9.910000E+37
+1.870000E+01,-5.718574E-08,+9.910000E+37
+1.870000E+01,+7.350433E-08,+9.910000E+37
+1.875000E+01,-8.622838E-08,+9.910000E+37
+1.880000E+01,-3.015830E-08,+9.910000E+37
+1.885000E+01,-5.693790E-09,+9.910000E+37
+1.890000E+01,-6.076431E-08,+9.910000E+37
+1.890000E+01,+7.305776E-08,+9.910000E+37
+1.895000E+01,-1.089591E-07,+9.910000E+37
+1.900000E+01,-8.809016E-09,+9.910000E+37
+1.905000E+01,+5.777344E-09,+9.910000E+37
+1.910000E+01,-7.599045E-08,+9.910000E+37
+1.910000E+01,+4.291845E-08,+9.910000E+37
+1.915000E+01,-1.036486E-07,+9.910000E+37
+1.920000E+01,+9.589731E-09,+9.910000E+37
+1.925000E+01,-4.735502E-08,+9.910000E+37
+1.930000E+01,-2.965779E-08,+9.910000E+37
+1.930000E+01,+6.787369E-08,+9.910000E+37
+1.935000E+01,-1.111899E-07,+9.910000E+37
+1.940000E+01,-1.255668E-08,+9.910000E+37
+1.945000E+01,-6.469770E-08,+9.910000E+37
+1.950000E+01,-1.878653E-08,+9.910000E+37
+1.950000E+01,+7.022441E-08,+9.910000E+37
+1.955000E+01,-1.271427E-07,+9.910000E+37
+1.960000E+01,+1.925754E-09,+9.910000E+37
+1.965000E+01,-6.752136E-08,+9.910000E+37
+1.970000E+01,-5.779275E-08,+9.910000E+37
+1.970000E+01,+7.146793E-08,+9.910000E+37
+1.975000E+01,-1.099011E-07,+9.910000E+37
+1.980000E+01,-1.188016E-08,+9.910000E+37
+1.985000E+01,-4.889110E-08,+9.910000E+37
+1.990000E+01,-3.304248E-08,+9.910000E+37
+1.990000E+01,+6.828778E-08,+9.910000E+37
+1.995000E+01,-6.648387E-08,+9.910000E+37
+2.000000E+01,-6.786228E-08,+9.910000E+37
+2.005000E+01,+1.100286E-07,+9.910000E+37
+2.010000E+01,-5.712560E-08,+9.910000E+37
+2.010000E+01,+7.256096E-08,+9.910000E+37
+2.015000E+01,-6.845975E-08,+9.910000E+37
+2.020000E+01,-6.150625E-08,+9.910000E+37
+2.025000E+01,-3.241859E-08,+9.910000E+37
+2.030000E+01,-3.946908E-08,+9.910000E+37
+2.030000E+01,+6.844230E-08,+9.910000E+37
+2.035000E+01,-6.697822E-08,+9.910000E+37
+2.040000E+01,-6.369186E-08,+9.910000E+37
+2.045000E+01,-2.845488E-08,+9.910000E+37
+2.050000E+01,-1.303853E-08,+9.910000E+37
+2.050000E+01,+6.445833E-08,+9.910000E+37
+2.055000E+01,-5.244238E-08,+9.910000E+37
+2.060000E+01,-6.481494E-08,+9.910000E+37
+2.065000E+01,-3.634634E-08,+9.910000E+37
+2.070000E+01,+1.398196E-08,+9.910000E+37
+2.070000E+01,+4.394282E-08,+9.910000E+37
+2.075000E+01,-1.061505E-07,+9.910000E+37
+2.080000E+01,-4.836609E-08,+9.910000E+37
+2.085000E+01,-3.535041E-08,+9.910000E+37
+2.090000E+01,+9.820696E-09,+9.910000E+37
+2.090000E+01,+5.456678E-08,+9.910000E+37
+2.095000E+01,-1.207200E-07,+9.910000E+37
+2.100000E+01,-3.882958E-08,+9.910000E+37
+2.105000E+01,-2.821510E-08,+9.910000E+37
+2.110000E+01,+5.676605E-09,+9.910000E+37
+2.110000E+01,+4.928360E-08,+9.910000E+37
+2.115000E+01,-8.828258E-08,+9.910000E+37
+2.120000E+01,-4.749054E-08,+9.910000E+37
+2.125000E+01,-2.968323E-08,+9.910000E+37
+2.130000E+01,+1.443133E-09,+9.910000E+37
+2.130000E+01,+3.792316E-08,+9.910000E+37
+2.135000E+01,-1.126443E-07,+9.910000E+37
+2.140000E+01,-1.555470E-08,+9.910000E+37
+2.145000E+01,-3.036823E-09,+9.910000E+37
+2.150000E+01,-7.882326E-08,+9.910000E+37
+2.150000E+01,+7.107402E-08,+9.910000E+37
+2.155000E+01,-1.039141E-07,+9.910000E+37
+2.160000E+01,-3.237281E-08,+9.910000E+37
+2.165000E+01,+7.780297E-09,+9.910000E+37
+2.170000E+01,-4.777902E-08,+9.910000E+37
+2.170000E+01,+6.235732E-08,+9.910000E+37
+2.175000E+01,-8.281799E-08,+9.910000E+37
+2.180000E+01,-2.330102E-08,+9.910000E+37
+2.185000E+01,-3.401130E-09,+9.910000E+37
+2.190000E+01,-6.142605E-08,+9.910000E+37
+2.190000E+01,+6.742533E-08,+9.910000E+37
+2.195000E+01,-9.035656E-08,+9.910000E+37
+2.200000E+01,-4.447532E-08,+9.910000E+37
