After nitrogen cooling, Dark, BIAS 18V-24V
 Sweep settings: Start voltage: 19 V, end voltage:  24 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.900000E+01,-3.638590E-08,+9.910000E+37
+1.905000E+01,-1.548625E-11,+9.910000E+37
+1.910000E+01,-5.685875E-08,+9.910000E+37
+1.915000E+01,+1.143049E-07,+9.910000E+37
+1.920000E+01,-1.241828E-08,+9.910000E+37
+1.925000E+01,-5.262828E-08,+9.910000E+37
+1.930000E+01,-3.518748E-08,+9.910000E+37
+1.935000E+01,-1.512924E-08,+9.910000E+37
+1.940000E+01,-1.476952E-08,+9.910000E+37
+1.945000E+01,-4.783586E-08,+9.910000E+37
+1.950000E+01,+1.067171E-07,+9.910000E+37
+1.955000E+01,-4.755017E-08,+9.910000E+37
+1.960000E+01,-1.545619E-09,+9.910000E+37
+1.965000E+01,-5.038162E-08,+9.910000E+37
+1.970000E+01,-4.209539E-08,+9.910000E+37
+1.975000E+01,-1.485149E-08,+9.910000E+37
+1.980000E+01,-3.221416E-09,+9.910000E+37
+1.985000E+01,-5.321523E-08,+9.910000E+37
+1.990000E+01,-3.256345E-08,+9.910000E+37
+1.995000E+01,-8.556225E-09,+9.910000E+37
+2.000000E+01,-6.829381E-08,+9.910000E+37
+2.005000E+01,-5.001652E-08,+9.910000E+37
+2.010000E+01,-2.921763E-08,+9.910000E+37
+2.015000E+01,-2.246038E-10,+9.910000E+37
+2.020000E+01,-6.514176E-08,+9.910000E+37
+2.025000E+01,-2.056981E-08,+9.910000E+37
+2.030000E+01,-4.032127E-08,+9.910000E+37
+2.035000E+01,-2.623493E-09,+9.910000E+37
+2.040000E+01,-5.625643E-08,+9.910000E+37
+2.045000E+01,-3.847055E-08,+9.910000E+37
+2.050000E+01,-3.636121E-08,+9.910000E+37
+2.055000E+01,-1.578553E-08,+9.910000E+37
+2.060000E+01,+9.399252E-08,+9.910000E+37
+2.065000E+01,-5.688398E-08,+9.910000E+37
+2.070000E+01,+4.175555E-09,+9.910000E+37
+2.075000E+01,-6.459155E-08,+9.910000E+37
+2.080000E+01,-5.713401E-08,+9.910000E+37
+2.085000E+01,-3.507276E-08,+9.910000E+37
+2.090000E+01,-9.675047E-09,+9.910000E+37
+2.095000E+01,-6.236631E-08,+9.910000E+37
+2.100000E+01,-1.851973E-08,+9.910000E+37
+2.105000E+01,-3.816813E-08,+9.910000E+37
+2.110000E+01,-1.344253E-08,+9.910000E+37
+2.115000E+01,-5.193109E-08,+9.910000E+37
+2.120000E+01,-5.523730E-08,+9.910000E+37
+2.125000E+01,-2.500800E-08,+9.910000E+37
+2.130000E+01,-1.089521E-09,+9.910000E+37
+2.135000E+01,-7.895122E-08,+9.910000E+37
+2.140000E+01,-3.106541E-08,+9.910000E+37
+2.145000E+01,-5.864839E-10,+9.910000E+37
+2.150000E+01,-6.089762E-08,+9.910000E+37
+2.155000E+01,-3.920902E-08,+9.910000E+37
+2.160000E+01,-2.999135E-08,+9.910000E+37
+2.165000E+01,-6.693202E-09,+9.910000E+37
+2.170000E+01,-6.156945E-08,+9.910000E+37
+2.175000E+01,-3.479214E-08,+9.910000E+37
+2.180000E+01,-3.753435E-08,+9.910000E+37
+2.185000E+01,+3.895372E-09,+9.910000E+37
+2.190000E+01,-5.474819E-08,+9.910000E+37
+2.195000E+01,-2.457534E-08,+9.910000E+37
+2.200000E+01,-3.278649E-08,+9.910000E+37
+2.205000E+01,+1.037508E-08,+9.910000E+37
+2.210000E+01,-4.185227E-08,+9.910000E+37
+2.215000E+01,-5.315764E-09,+9.910000E+37
+2.220000E+01,+3.204324E-08,+9.910000E+37
+2.225000E+01,-9.235098E-09,+9.910000E+37
+2.230000E+01,+1.112224E-08,+9.910000E+37
+2.235000E+01,+5.839152E-08,+9.910000E+37
+2.240000E+01,+1.080191E-07,+9.910000E+37
+2.245000E+01,+1.357816E-07,+9.910000E+37
+2.250000E+01,+1.892639E-07,+9.910000E+37
+2.255000E+01,+2.443023E-07,+9.910000E+37
+2.260000E+01,+3.479229E-07,+9.910000E+37
+2.265000E+01,+3.591835E-07,+9.910000E+37
+2.270000E+01,+2.845349E-07,+9.910000E+37
+2.275000E+01,+2.296867E-07,+9.910000E+37
+2.280000E+01,+5.492930E-07,+9.910000E+37
+2.285000E+01,+6.722980E-07,+9.910000E+37
+2.290000E+01,+1.030257E-06,+9.910000E+37
+2.295000E+01,+8.123291E-07,+9.910000E+37
+2.300000E+01,+9.534389E-07,+9.910000E+37
+2.305000E+01,+1.038665E-06,+9.910000E+37
+2.310000E+01,+1.068906E-06,+9.910000E+37
+2.315000E+01,+1.113101E-06,+9.910000E+37
+2.320000E+01,+1.220985E-06,+9.910000E+37
+2.325000E+01,+1.294539E-06,+9.910000E+37
+2.330000E+01,+1.335771E-06,+9.910000E+37
+2.335000E+01,+1.381483E-06,+9.910000E+37
+2.340000E+01,+1.430910E-06,+9.910000E+37
+2.345000E+01,+1.479278E-06,+9.910000E+37
+2.350000E+01,+1.579971E-06,+9.910000E+37
+2.355000E+01,+1.663003E-06,+9.910000E+37
+2.360000E+01,+1.737082E-06,+9.910000E+37
+2.365000E+01,+1.795480E-06,+9.910000E+37
+2.370000E+01,+1.850321E-06,+9.910000E+37
+2.375000E+01,+1.918994E-06,+9.910000E+37
+2.380000E+01,+1.993536E-06,+9.910000E+37
+2.385000E+01,+2.110145E-06,+9.910000E+37
+2.390000E+01,+2.210090E-06,+9.910000E+37
+2.395000E+01,+2.275242E-06,+9.910000E+37
