
 Sweep settings: Start voltage: 20 V, end voltage:  23.5 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.000000E+01,+5.429687E-07,+9.910000E+37
+2.005000E+01,+4.362234E-09,+9.910000E+37
+2.005000E+01,-2.429580E-08,+9.910000E+37
+2.010000E+01,-1.435347E-08,+9.910000E+37
+2.015000E+01,+3.519827E-08,+9.910000E+37
+2.015000E+01,+1.243393E-08,+9.910000E+37
+2.020000E+01,-2.057595E-09,+9.910000E+37
+2.025000E+01,-5.244140E-09,+9.910000E+37
+2.030000E+01,-1.636573E-08,+9.910000E+37
+2.030000E+01,-3.316407E-08,+9.910000E+37
+2.035000E+01,+2.916222E-08,+9.910000E+37
+2.040000E+01,+3.203273E-08,+9.910000E+37
+2.040000E+01,-1.926703E-09,+9.910000E+37
+2.045000E+01,-1.142603E-09,+9.910000E+37
+2.050000E+01,-9.210201E-09,+9.910000E+37
+2.055000E+01,-2.308257E-08,+9.910000E+37
+2.055000E+01,-2.060232E-08,+9.910000E+37
+2.060000E+01,+3.704333E-08,+9.910000E+37
+2.065000E+01,+3.423570E-08,+9.910000E+37
+2.065000E+01,+3.105652E-09,+9.910000E+37
+2.070000E+01,-4.970747E-09,+9.910000E+37
+2.075000E+01,-2.977258E-08,+9.910000E+37
+2.075000E+01,-3.198853E-08,+9.910000E+37
+2.080000E+01,+7.240704E-09,+9.910000E+37
+2.085000E+01,+3.719702E-08,+9.910000E+37
+2.090000E+01,+4.030883E-09,+9.910000E+37
+2.090000E+01,-7.500318E-09,+9.910000E+37
+2.095000E+01,+4.743068E-11,+9.910000E+37
+2.100000E+01,-2.905470E-08,+9.910000E+37
+2.100000E+01,-2.628031E-08,+9.910000E+37
+2.105000E+01,+2.748896E-08,+9.910000E+37
+2.110000E+01,+3.416158E-08,+9.910000E+37
+2.110000E+01,+1.132770E-08,+9.910000E+37
+2.115000E+01,-3.338337E-09,+9.910000E+37
+2.120000E+01,-1.211177E-08,+9.910000E+37
+2.125000E+01,-4.062198E-08,+9.910000E+37
+2.125000E+01,+1.459964E-08,+9.910000E+37
+2.130000E+01,+3.426063E-08,+9.910000E+37
+2.135000E+01,+9.261822E-09,+9.910000E+37
+2.135000E+01,-4.138176E-09,+9.910000E+37
+2.140000E+01,-2.397527E-08,+9.910000E+37
+2.145000E+01,-1.982060E-08,+9.910000E+37
+2.145000E+01,+4.377575E-08,+9.910000E+37
+2.150000E+01,+2.222064E-08,+9.910000E+37
+2.155000E+01,+8.462083E-09,+9.910000E+37
+2.160000E+01,-1.924222E-09,+9.910000E+37
+2.160000E+01,-1.817046E-08,+9.910000E+37
+2.165000E+01,+3.559576E-09,+9.910000E+37
+2.170000E+01,+6.012365E-08,+9.910000E+37
+2.170000E+01,+4.278749E-08,+9.910000E+37
+2.175000E+01,+4.672493E-08,+9.910000E+37
+2.180000E+01,+4.946392E-08,+9.910000E+37
+2.180000E+01,+3.259150E-08,+9.910000E+37
+2.185000E+01,+7.789684E-08,+9.910000E+37
+2.190000E+01,+1.510800E-07,+9.910000E+37
+2.195000E+01,+1.472796E-07,+9.910000E+37
+2.195000E+01,+1.505910E-07,+9.910000E+37
+2.200000E+01,+1.699893E-07,+9.910000E+37
+2.205000E+01,+1.778322E-07,+9.910000E+37
+2.205000E+01,+2.078809E-07,+9.910000E+37
+2.210000E+01,+2.817232E-07,+9.910000E+37
+2.215000E+01,+3.248051E-07,+9.910000E+37
+2.215000E+01,+3.072313E-07,+9.910000E+37
+2.220000E+01,+3.216608E-07,+9.910000E+37
+2.225000E+01,+3.490667E-07,+9.910000E+37
+2.230000E+01,+3.586842E-07,+9.910000E+37
+2.230000E+01,+3.975523E-07,+9.910000E+37
+2.235000E+01,+4.733674E-07,+9.910000E+37
+2.240000E+01,+4.749973E-07,+9.910000E+37
+2.240000E+01,+4.625790E-07,+9.910000E+37
+2.245000E+01,+4.957396E-07,+9.910000E+37
+2.250000E+01,+5.064862E-07,+9.910000E+37
+2.250000E+01,+5.019822E-07,+9.910000E+37
+2.255000E+01,+5.941303E-07,+9.910000E+37
+2.260000E+01,+6.262891E-07,+9.910000E+37
+2.265000E+01,+6.383769E-07,+9.910000E+37
+2.265000E+01,+6.393371E-07,+9.910000E+37
+2.270000E+01,+6.712183E-07,+9.910000E+37
+2.275000E+01,+6.880443E-07,+9.910000E+37
+2.275000E+01,+7.274449E-07,+9.910000E+37
+2.280000E+01,+7.953191E-07,+9.910000E+37
+2.285000E+01,+8.129517E-07,+9.910000E+37
+2.285000E+01,+8.051193E-07,+9.910000E+37
+2.290000E+01,+8.264648E-07,+9.910000E+37
+2.295000E+01,+8.459792E-07,+9.910000E+37
+2.300000E+01,+9.372287E-07,+9.910000E+37
+2.300000E+01,+9.638767E-07,+9.910000E+37
+2.305000E+01,+9.959805E-07,+9.910000E+37
+2.310000E+01,+1.046573E-06,+9.910000E+37
+2.310000E+01,+1.026950E-06,+9.910000E+37
+2.315000E+01,+1.051926E-06,+9.910000E+37
+2.320000E+01,+1.149491E-06,+9.910000E+37
+2.320000E+01,+1.168228E-06,+9.910000E+37
+2.325000E+01,+1.204506E-06,+9.910000E+37
+2.330000E+01,+1.257764E-06,+9.910000E+37
+2.335000E+01,+1.277654E-06,+9.910000E+37
+2.335000E+01,+1.261264E-06,+9.910000E+37
+2.340000E+01,+1.383226E-06,+9.910000E+37
+2.345000E+01,+1.456148E-06,+9.910000E+37
+2.345000E+01,+1.434685E-06,+9.910000E+37
