
 Sweep settings: Start voltage: 20 V, end voltage:  23 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.000000E+01,-2.063903E-08,+9.910000E+37
+2.005000E+01,+9.261635E-08,+9.910000E+37
+2.005000E+01,+6.185960E-08,+9.910000E+37
+2.010000E+01,-1.228050E-07,+9.910000E+37
+2.010000E+01,+7.141596E-08,+9.910000E+37
+2.015000E+01,-6.333853E-08,+9.910000E+37
+2.020000E+01,-6.680823E-08,+9.910000E+37
+2.020000E+01,+7.592373E-08,+9.910000E+37
+2.025000E+01,-7.441807E-08,+9.910000E+37
+2.025000E+01,+7.729618E-08,+9.910000E+37
+2.030000E+01,-1.035637E-07,+9.910000E+37
+2.035000E+01,+1.737927E-09,+9.910000E+37
+2.035000E+01,+5.520576E-08,+9.910000E+37
+2.040000E+01,-1.263708E-07,+9.910000E+37
+2.040000E+01,+6.253721E-08,+9.910000E+37
+2.045000E+01,-7.838042E-08,+9.910000E+37
+2.050000E+01,-2.350229E-08,+9.910000E+37
+2.050000E+01,+7.332391E-08,+9.910000E+37
+2.055000E+01,-6.778010E-08,+9.910000E+37
+2.055000E+01,+3.773370E-08,+9.910000E+37
+2.060000E+01,-1.118246E-07,+9.910000E+37
+2.065000E+01,-5.003367E-08,+9.910000E+37
+2.065000E+01,+7.329557E-08,+9.910000E+37
+2.070000E+01,-7.014440E-08,+9.910000E+37
+2.070000E+01,+3.868064E-08,+9.910000E+37
+2.075000E+01,-8.508538E-08,+9.910000E+37
+2.080000E+01,-3.822780E-08,+9.910000E+37
+2.080000E+01,+7.973602E-08,+9.910000E+37
+2.085000E+01,-1.134803E-07,+9.910000E+37
+2.085000E+01,+6.102519E-08,+9.910000E+37
+2.090000E+01,+5.072370E-08,+9.910000E+37
+2.095000E+01,-4.780305E-08,+9.910000E+37
+2.095000E+01,+6.338274E-08,+9.910000E+37
+2.100000E+01,-8.444932E-08,+9.910000E+37
+2.100000E+01,+6.495907E-08,+9.910000E+37
+2.105000E+01,-1.100519E-07,+9.910000E+37
+2.110000E+01,-5.685652E-09,+9.910000E+37
+2.110000E+01,+5.270154E-08,+9.910000E+37
+2.115000E+01,-1.011109E-07,+9.910000E+37
+2.115000E+01,+6.050950E-08,+9.910000E+37
+2.120000E+01,-1.009050E-07,+9.910000E+37
+2.125000E+01,-4.039422E-08,+9.910000E+37
+2.125000E+01,+7.394402E-08,+9.910000E+37
+2.130000E+01,-6.666899E-08,+9.910000E+37
+2.130000E+01,+4.396470E-08,+9.910000E+37
+2.135000E+01,-1.067473E-07,+9.910000E+37
+2.140000E+01,-2.018590E-08,+9.910000E+37
+2.140000E+01,+7.013461E-08,+9.910000E+37
+2.145000E+01,-6.266247E-08,+9.910000E+37
+2.145000E+01,+3.906290E-08,+9.910000E+37
+2.150000E+01,-1.044629E-07,+9.910000E+37
+2.155000E+01,-2.768678E-08,+9.910000E+37
+2.155000E+01,+9.053846E-08,+9.910000E+37
+2.160000E+01,-7.359679E-08,+9.910000E+37
+2.160000E+01,+8.776310E-08,+9.910000E+37
+2.165000E+01,-3.025398E-08,+9.910000E+37
+2.170000E+01,-1.253013E-08,+9.910000E+37
+2.170000E+01,+9.652210E-08,+9.910000E+37
+2.175000E+01,-3.376839E-08,+9.910000E+37
+2.175000E+01,+1.191280E-07,+9.910000E+37
+2.180000E+01,+1.477441E-07,+9.910000E+37
+2.185000E+01,+1.062692E-07,+9.910000E+37
+2.185000E+01,+1.555872E-07,+9.910000E+37
+2.190000E+01,+5.894439E-08,+9.910000E+37
+2.190000E+01,+1.889604E-07,+9.910000E+37
+2.195000E+01,+1.035325E-07,+9.910000E+37
+2.200000E+01,+1.632589E-07,+9.910000E+37
+2.200000E+01,+2.549499E-07,+9.910000E+37
+2.205000E+01,+1.917252E-07,+9.910000E+37
+2.205000E+01,+2.689582E-07,+9.910000E+37
+2.210000E+01,+2.137781E-07,+9.910000E+37
+2.215000E+01,+2.609031E-07,+9.910000E+37
+2.215000E+01,+3.455888E-07,+9.910000E+37
+2.220000E+01,+3.003786E-07,+9.910000E+37
+2.220000E+01,+3.706644E-07,+9.910000E+37
+2.225000E+01,+3.269488E-07,+9.910000E+37
+2.230000E+01,+3.487057E-07,+9.910000E+37
+2.230000E+01,+4.501298E-07,+9.910000E+37
+2.235000E+01,+3.641926E-07,+9.910000E+37
+2.235000E+01,+4.834066E-07,+9.910000E+37
+2.240000E+01,+4.437903E-07,+9.910000E+37
+2.245000E+01,+2.456827E-07,+9.910000E+37
+2.245000E+01,+5.397088E-07,+9.910000E+37
+2.250000E+01,+2.685750E-07,+9.910000E+37
+2.250000E+01,+5.434127E-07,+9.910000E+37
+2.255000E+01,+3.998819E-07,+9.910000E+37
+2.260000E+01,+5.937736E-07,+9.910000E+37
+2.260000E+01,+5.419653E-07,+9.910000E+37
+2.265000E+01,+5.807602E-07,+9.910000E+37
+2.265000E+01,+9.777054E-07,+9.910000E+37
+2.270000E+01,+5.599654E-07,+9.910000E+37
+2.275000E+01,+1.002880E-06,+9.910000E+37
+2.275000E+01,+6.777482E-07,+9.910000E+37
+2.280000E+01,+1.018745E-06,+9.910000E+37
+2.280000E+01,+7.260321E-07,+9.910000E+37
+2.285000E+01,+1.035137E-06,+9.910000E+37
+2.290000E+01,+8.440797E-07,+9.910000E+37
+2.290000E+01,+1.044340E-06,+9.910000E+37
+2.295000E+01,+1.050009E-06,+9.910000E+37
+2.295000E+01,+8.859572E-07,+9.910000E+37
