
 Sweep settings: Start voltage: 20 V, end voltage:  23.5 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.000000E+01,-6.226050E-08,+9.910000E+37
+2.005000E+01,+1.150882E-07,+9.910000E+37
+2.005000E+01,+5.990997E-08,+9.910000E+37
+2.010000E+01,-7.617079E-08,+9.910000E+37
+2.015000E+01,+4.350070E-08,+9.910000E+37
+2.015000E+01,+5.065258E-08,+9.910000E+37
+2.020000E+01,-7.575004E-08,+9.910000E+37
+2.025000E+01,-1.846099E-09,+9.910000E+37
+2.030000E+01,+8.327972E-09,+9.910000E+37
+2.030000E+01,+6.428252E-08,+9.910000E+37
+2.035000E+01,-5.535598E-08,+9.910000E+37
+2.040000E+01,-2.600794E-08,+9.910000E+37
+2.040000E+01,+5.345098E-08,+9.910000E+37
+2.045000E+01,-1.311107E-07,+9.910000E+37
+2.050000E+01,-1.632307E-08,+9.910000E+37
+2.055000E+01,-1.779589E-09,+9.910000E+37
+2.055000E+01,+4.728342E-08,+9.910000E+37
+2.060000E+01,-1.062588E-07,+9.910000E+37
+2.065000E+01,-4.886399E-08,+9.910000E+37
+2.065000E+01,+7.631967E-08,+9.910000E+37
+2.070000E+01,-7.000440E-08,+9.910000E+37
+2.075000E+01,-7.748970E-08,+9.910000E+37
+2.075000E+01,+7.347210E-08,+9.910000E+37
+2.080000E+01,-1.178238E-07,+9.910000E+37
+2.085000E+01,-3.772685E-08,+9.910000E+37
+2.090000E+01,+3.813590E-09,+9.910000E+37
+2.090000E+01,+5.485711E-08,+9.910000E+37
+2.095000E+01,-1.032033E-07,+9.910000E+37
+2.100000E+01,-4.226629E-08,+9.910000E+37
+2.100000E+01,+7.238150E-08,+9.910000E+37
+2.105000E+01,-1.154318E-07,+9.910000E+37
+2.110000E+01,+1.124568E-08,+9.910000E+37
+2.110000E+01,+5.367473E-08,+9.910000E+37
+2.115000E+01,-1.123609E-07,+9.910000E+37
+2.120000E+01,-5.786929E-08,+9.910000E+37
+2.125000E+01,-2.526706E-08,+9.910000E+37
+2.125000E+01,+7.414363E-08,+9.910000E+37
+2.130000E+01,-7.871730E-08,+9.910000E+37
+2.135000E+01,-7.715835E-08,+9.910000E+37
+2.135000E+01,+7.721206E-08,+9.910000E+37
+2.140000E+01,-9.468994E-08,+9.910000E+37
+2.145000E+01,-1.190226E-08,+9.910000E+37
+2.145000E+01,+4.309918E-08,+9.910000E+37
+2.150000E+01,-1.036823E-07,+9.910000E+37
+2.155000E+01,-2.894087E-08,+9.910000E+37
+2.160000E+01,-2.326532E-08,+9.910000E+37
+2.160000E+01,+8.627333E-08,+9.910000E+37
+2.165000E+01,-4.837845E-08,+9.910000E+37
+2.170000E+01,-4.202277E-08,+9.910000E+37
+2.170000E+01,+1.061242E-07,+9.910000E+37
+2.175000E+01,-2.664972E-08,+9.910000E+37
+2.180000E+01,+9.851111E-09,+9.910000E+37
+2.180000E+01,+1.319318E-07,+9.910000E+37
+2.185000E+01,+2.284257E-08,+9.910000E+37
+2.190000E+01,+5.560845E-08,+9.910000E+37
+2.195000E+01,+9.724204E-08,+9.910000E+37
+2.195000E+01,+2.000409E-07,+9.910000E+37
+2.200000E+01,+1.100729E-07,+9.910000E+37
+2.205000E+01,+1.855587E-07,+9.910000E+37
+2.205000E+01,+2.534825E-07,+9.910000E+37
+2.210000E+01,+3.000551E-07,+9.910000E+37
+2.215000E+01,+2.410949E-07,+9.910000E+37
+2.215000E+01,+3.352031E-07,+9.910000E+37
+2.220000E+01,+2.857512E-07,+9.910000E+37
+2.225000E+01,+3.121719E-07,+9.910000E+37
+2.230000E+01,+3.412136E-07,+9.910000E+37
+2.230000E+01,+4.297351E-07,+9.910000E+37
+2.235000E+01,+3.375717E-07,+9.910000E+37
+2.240000E+01,+4.540952E-07,+9.910000E+37
+2.240000E+01,+4.946373E-07,+9.910000E+37
+2.245000E+01,+2.372848E-07,+9.910000E+37
+2.250000E+01,+3.020608E-07,+9.910000E+37
+2.250000E+01,+5.487714E-07,+9.910000E+37
+2.255000E+01,+3.431394E-07,+9.910000E+37
+2.260000E+01,+3.248513E-07,+9.910000E+37
+2.265000E+01,+6.032274E-07,+9.910000E+37
+2.265000E+01,+9.769110E-07,+9.910000E+37
+2.270000E+01,+6.087041E-07,+9.910000E+37
+2.275000E+01,+7.161808E-07,+9.910000E+37
+2.275000E+01,+1.020730E-06,+9.910000E+37
+2.280000E+01,+1.049598E-06,+9.910000E+37
+2.285000E+01,+7.252287E-07,+9.910000E+37
+2.285000E+01,+9.336906E-07,+9.910000E+37
+2.290000E+01,+8.294755E-07,+9.910000E+37
+2.295000E+01,+8.239889E-07,+9.910000E+37
+2.300000E+01,+9.163245E-07,+9.910000E+37
+2.300000E+01,+9.024683E-07,+9.910000E+37
+2.305000E+01,+1.000505E-06,+9.910000E+37
+2.310000E+01,+1.060289E-06,+9.910000E+37
+2.310000E+01,+1.023486E-06,+9.910000E+37
+2.315000E+01,+1.073733E-06,+9.910000E+37
+2.320000E+01,+1.183312E-06,+9.910000E+37
+2.320000E+01,+1.167768E-06,+9.910000E+37
+2.325000E+01,+1.211285E-06,+9.910000E+37
+2.330000E+01,+1.274460E-06,+9.910000E+37
+2.335000E+01,+1.293012E-06,+9.910000E+37
+2.335000E+01,+1.293190E-06,+9.910000E+37
+2.340000E+01,+1.409616E-06,+9.910000E+37
+2.345000E+01,+1.477600E-06,+9.910000E+37
+2.345000E+01,+1.456514E-06,+9.910000E+37
