Demonstartion for Ottos presentation
 Sweep settings: Start voltage: 22 V, end voltage:  28 V, sweep points: 100, current limit: 0.015 A, LED 6 V flat line
 U/V, I/A, R/Ohm
+2.200000E+01,-6.259663E-08,+9.910000E+37
+2.205000E+01,-3.001064E-09,+9.910000E+37
+2.210000E+01,-1.034787E-07,+9.910000E+37
+2.220000E+01,-7.021019E-07,+9.910000E+37
+2.225000E+01,-6.596907E-07,+9.910000E+37
+2.230000E+01,-5.352767E-07,+9.910000E+37
+2.235000E+01,-3.596552E-07,+9.910000E+37
+2.240000E+01,+1.102312E-07,+9.910000E+37
+2.250000E+01,-6.666407E-07,+9.910000E+37
+2.255000E+01,-6.271455E-07,+9.910000E+37
+2.260000E+01,+1.107977E-07,+9.910000E+37
+2.265000E+01,-5.322212E-11,+9.910000E+37
+2.270000E+01,-7.739733E-08,+9.910000E+37
+2.280000E+01,-4.808202E-07,+9.910000E+37
+2.285000E+01,-2.931252E-08,+9.910000E+37
+2.290000E+01,+2.797325E-08,+9.910000E+37
+2.295000E+01,-1.529006E-08,+9.910000E+37
+2.300000E+01,-6.928117E-08,+9.910000E+37
+2.310000E+01,-6.948850E-07,+9.910000E+37
+2.315000E+01,+3.524917E-09,+9.910000E+37
+2.320000E+01,+1.500878E-08,+9.910000E+37
+2.325000E+01,-5.819270E-08,+9.910000E+37
+2.330000E+01,-4.581919E-08,+9.910000E+37
+2.340000E+01,-4.557536E-07,+9.910000E+37
+2.345000E+01,-1.654683E-08,+9.910000E+37
+2.350000E+01,-1.414343E-08,+9.910000E+37
+2.355000E+01,-2.193639E-08,+9.910000E+37
+2.360000E+01,+9.257280E-08,+9.910000E+37
+2.370000E+01,-1.332156E-07,+9.910000E+37
+2.375000E+01,-1.313392E-08,+9.910000E+37
+2.380000E+01,-3.968700E-08,+9.910000E+37
+2.385000E+01,-3.342191E-08,+9.910000E+37
+2.390000E+01,-8.423215E-09,+9.910000E+37
+2.400000E+01,-7.105225E-07,+9.910000E+37
+2.405000E+01,-4.829050E-07,+9.910000E+37
+2.410000E+01,+1.779789E-07,+9.910000E+37
+2.415000E+01,-3.354804E-08,+9.910000E+37
+2.420000E+01,-6.081726E-08,+9.910000E+37
+2.430000E+01,-3.157857E-07,+9.910000E+37
+2.435000E+01,+1.863814E-07,+9.910000E+37
+2.440000E+01,-2.420303E-08,+9.910000E+37
+2.445000E+01,+2.379486E-08,+9.910000E+37
+2.450000E+01,+1.727819E-07,+9.910000E+37
+2.460000E+01,+1.667628E-06,+9.910000E+37
+2.465000E+01,+2.618494E-06,+9.910000E+37
+2.470000E+01,+4.228153E-06,+9.910000E+37
+2.475000E+01,+6.340546E-06,+9.910000E+37
+2.480000E+01,+8.728223E-06,+9.910000E+37
+2.490000E+01,+1.326329E-05,+9.910000E+37
+2.495000E+01,+1.629423E-05,+9.910000E+37
+2.500000E+01,+2.001732E-05,+9.910000E+37
+2.505000E+01,+2.237770E-05,+9.910000E+37
+2.510000E+01,+2.603154E-05,+9.910000E+37
+2.520000E+01,+3.327275E-05,+9.910000E+37
+2.525000E+01,+3.729487E-05,+9.910000E+37
+2.530000E+01,+4.201381E-05,+9.910000E+37
+2.535000E+01,+4.699253E-05,+9.910000E+37
+2.540000E+01,+5.037140E-05,+9.910000E+37
+2.550000E+01,+6.076618E-05,+9.910000E+37
+2.555000E+01,+6.627266E-05,+9.910000E+37
+2.560000E+01,+6.996749E-05,+9.910000E+37
+2.565000E+01,+7.537151E-05,+9.910000E+37
+2.570000E+01,+8.117333E-05,+9.910000E+37
+2.580000E+01,+9.116057E-05,+9.910000E+37
+2.585000E+01,+9.727330E-05,+9.910000E+37
+2.590000E+01,+1.035095E-04,+9.910000E+37
+2.595000E+01,+1.072712E-04,+9.910000E+37
+2.600000E+01,+1.135079E-04,+9.910000E+37
+2.610000E+01,+1.265475E-04,+9.910000E+37
+2.615000E+01,+1.310172E-04,+9.910000E+37
+2.620000E+01,+1.373507E-04,+9.910000E+37
+2.625000E+01,+1.440071E-04,+9.910000E+37
+2.630000E+01,+1.510073E-04,+9.910000E+37
+2.640000E+01,+1.627715E-04,+9.910000E+37
+2.645000E+01,+1.693530E-04,+9.910000E+37
+2.650000E+01,+1.766342E-04,+9.910000E+37
+2.655000E+01,+1.814620E-04,+9.910000E+37
+2.660000E+01,+1.882755E-04,+9.910000E+37
+2.670000E+01,+2.005973E-04,+9.910000E+37
+2.675000E+01,+2.079466E-04,+9.910000E+37
+2.680000E+01,+2.159123E-04,+9.910000E+37
+2.685000E+01,+2.234140E-04,+9.910000E+37
+2.690000E+01,+2.286155E-04,+9.910000E+37
+2.700000E+01,+2.438726E-04,+9.910000E+37
+2.705000E+01,+2.515840E-04,+9.910000E+37
+2.710000E+01,+2.566899E-04,+9.910000E+37
+2.715000E+01,+2.642460E-04,+9.910000E+37
+2.720000E+01,+2.727815E-04,+9.910000E+37
+2.730000E+01,+2.867280E-04,+9.910000E+37
+2.735000E+01,+2.953322E-04,+9.910000E+37
+2.740000E+01,+3.036642E-04,+9.910000E+37
+2.745000E+01,+3.091129E-04,+9.910000E+37
+2.750000E+01,+3.170696E-04,+9.910000E+37
+2.760000E+01,+3.338911E-04,+9.910000E+37
+2.765000E+01,+3.400166E-04,+9.910000E+37
+2.770000E+01,+3.490923E-04,+9.910000E+37
+2.775000E+01,+3.582992E-04,+9.910000E+37
+2.780000E+01,+3.672668E-04,+9.910000E+37
+2.790000E+01,+3.825028E-04,+9.910000E+37
+2.795000E+01,+3.909334E-04,+9.910000E+37
+2.800000E+01,+4.002042E-04,+9.910000E+37
