After nitrogen cooling, Dark, BIAS 18V-24V
 Sweep settings: Start voltage: 14 V, end voltage:  23 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.400000E+01,-8.804764E-08,+9.910000E+37
+1.410000E+01,-1.880159E-08,+9.910000E+37
+1.420000E+01,-5.845836E-07,+9.910000E+37
+1.425000E+01,-5.049419E-07,+9.910000E+37
+1.435000E+01,-5.588386E-07,+9.910000E+37
+1.445000E+01,-6.888593E-07,+9.910000E+37
+1.455000E+01,-5.992854E-07,+9.910000E+37
+1.465000E+01,-6.930487E-07,+9.910000E+37
+1.470000E+01,-6.432361E-07,+9.910000E+37
+1.480000E+01,-6.705057E-07,+9.910000E+37
+1.490000E+01,-6.706466E-07,+9.910000E+37
+1.500000E+01,-6.705015E-07,+9.910000E+37
+1.510000E+01,-7.128820E-07,+9.910000E+37
+1.515000E+01,-6.200941E-07,+9.910000E+37
+1.525000E+01,-6.942493E-07,+9.910000E+37
+1.535000E+01,-7.503812E-07,+9.910000E+37
+1.545000E+01,-7.463330E-07,+9.910000E+37
+1.555000E+01,-7.134181E-07,+9.910000E+37
+1.560000E+01,+2.570905E-07,+9.910000E+37
+1.570000E+01,-2.846468E-07,+9.910000E+37
+1.580000E+01,-7.429765E-07,+9.910000E+37
+1.590000E+01,-7.089287E-07,+9.910000E+37
+1.600000E+01,-7.123816E-07,+9.910000E+37
+1.605000E+01,+1.820937E-07,+9.910000E+37
+1.615000E+01,-6.084937E-07,+9.910000E+37
+1.625000E+01,-5.896250E-07,+9.910000E+37
+1.635000E+01,-6.473157E-07,+9.910000E+37
+1.645000E+01,-6.188911E-07,+9.910000E+37
+1.650000E+01,-3.235124E-07,+9.910000E+37
+1.660000E+01,+2.072014E-07,+9.910000E+37
+1.670000E+01,-1.661991E-07,+9.910000E+37
+1.680000E+01,+3.354246E-07,+9.910000E+37
+1.690000E+01,+9.192932E-08,+9.910000E+37
+1.695000E+01,-4.839643E-08,+9.910000E+37
+1.705000E+01,-1.628825E-07,+9.910000E+37
+1.715000E+01,-6.931505E-07,+9.910000E+37
+1.725000E+01,-7.180728E-07,+9.910000E+37
+1.735000E+01,-6.150636E-07,+9.910000E+37
+1.740000E+01,-5.068102E-07,+9.910000E+37
+1.750000E+01,-7.102198E-07,+9.910000E+37
+1.760000E+01,-6.290040E-07,+9.910000E+37
+1.770000E+01,-6.567655E-07,+9.910000E+37
+1.780000E+01,+8.500984E-08,+9.910000E+37
+1.785000E+01,+2.320727E-07,+9.910000E+37
+1.795000E+01,-1.472158E-07,+9.910000E+37
+1.805000E+01,-7.560540E-07,+9.910000E+37
+1.815000E+01,-7.218380E-07,+9.910000E+37
+1.825000E+01,-7.485912E-07,+9.910000E+37
+1.830000E+01,-8.904607E-08,+9.910000E+37
+1.840000E+01,-6.622137E-07,+9.910000E+37
+1.850000E+01,-7.008598E-07,+9.910000E+37
+1.860000E+01,-7.051373E-07,+9.910000E+37
+1.870000E+01,-7.071058E-07,+9.910000E+37
+1.875000E+01,-6.722404E-07,+9.910000E+37
+1.885000E+01,-6.217052E-07,+9.910000E+37
+1.895000E+01,-6.905312E-07,+9.910000E+37
+1.905000E+01,-6.254699E-07,+9.910000E+37
+1.915000E+01,-6.675313E-07,+9.910000E+37
+1.920000E+01,-4.105994E-08,+9.910000E+37
+1.930000E+01,-6.823907E-07,+9.910000E+37
+1.940000E+01,-7.029427E-07,+9.910000E+37
+1.950000E+01,-6.901560E-07,+9.910000E+37
+1.960000E+01,-6.967646E-07,+9.910000E+37
+1.965000E+01,-7.079482E-07,+9.910000E+37
+1.975000E+01,-7.169090E-07,+9.910000E+37
+1.985000E+01,-7.293173E-07,+9.910000E+37
+1.995000E+01,-7.409107E-07,+9.910000E+37
+2.005000E+01,-7.667659E-07,+9.910000E+37
+2.010000E+01,-2.530739E-07,+9.910000E+37
+2.020000E+01,-5.525720E-07,+9.910000E+37
+2.030000E+01,-6.422936E-07,+9.910000E+37
+2.040000E+01,-6.545218E-07,+9.910000E+37
+2.050000E+01,-6.051641E-07,+9.910000E+37
+2.055000E+01,+3.791310E-08,+9.910000E+37
+2.065000E+01,+4.372060E-08,+9.910000E+37
+2.075000E+01,+6.345678E-07,+9.910000E+37
+2.085000E+01,+2.125526E-06,+9.910000E+37
+2.095000E+01,+4.101730E-06,+9.910000E+37
+2.100000E+01,+5.441758E-06,+9.910000E+37
+2.110000E+01,+8.098288E-06,+9.910000E+37
+2.120000E+01,+1.156271E-05,+9.910000E+37
+2.130000E+01,+1.507870E-05,+9.910000E+37
+2.140000E+01,+1.969231E-05,+9.910000E+37
+2.145000E+01,+2.113767E-05,+9.910000E+37
+2.155000E+01,+2.625170E-05,+9.910000E+37
+2.165000E+01,+3.091410E-05,+9.910000E+37
+2.175000E+01,+3.632586E-05,+9.910000E+37
+2.185000E+01,+4.125809E-05,+9.910000E+37
+2.190000E+01,+4.448304E-05,+9.910000E+37
+2.200000E+01,+5.089797E-05,+9.910000E+37
+2.210000E+01,+5.628076E-05,+9.910000E+37
+2.220000E+01,+6.187039E-05,+9.910000E+37
+2.230000E+01,+6.893733E-05,+9.910000E+37
+2.235000E+01,+7.242513E-05,+9.910000E+37
+2.245000E+01,+7.834434E-05,+9.910000E+37
+2.255000E+01,+8.583355E-05,+9.910000E+37
+2.265000E+01,+9.211489E-05,+9.910000E+37
+2.275000E+01,+9.976535E-05,+9.910000E+37
+2.280000E+01,+1.022936E-04,+9.910000E+37
+2.290000E+01,+1.097579E-04,+9.910000E+37
+2.300000E+01,+1.166288E-04,+9.910000E+37
