After nitrogen cooling, LED 5.8V, BIAS 18V-24V
 Sweep settings: Start voltage: 18 V, end voltage:  24 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.800000E+01,-2.131126E-08,+9.910000E+37
+1.805000E+01,-1.100203E-07,+9.910000E+37
+1.810000E+01,-4.150483E-08,+9.910000E+37
+1.820000E+01,-7.536951E-07,+9.910000E+37
+1.825000E+01,-7.112748E-07,+9.910000E+37
+1.830000E+01,+4.481203E-08,+9.910000E+37
+1.835000E+01,+8.763239E-09,+9.910000E+37
+1.840000E+01,-5.894965E-08,+9.910000E+37
+1.850000E+01,-6.348855E-07,+9.910000E+37
+1.855000E+01,-4.967945E-07,+9.910000E+37
+1.860000E+01,-4.013382E-07,+9.910000E+37
+1.865000E+01,+9.763671E-08,+9.910000E+37
+1.870000E+01,-6.047262E-08,+9.910000E+37
+1.880000E+01,-6.995904E-07,+9.910000E+37
+1.885000E+01,-5.560854E-09,+9.910000E+37
+1.890000E+01,+2.180945E-08,+9.910000E+37
+1.895000E+01,-5.447018E-08,+9.910000E+37
+1.900000E+01,-5.767223E-08,+9.910000E+37
+1.910000E+01,-2.271139E-07,+9.910000E+37
+1.915000E+01,+1.915596E-07,+9.910000E+37
+1.920000E+01,-2.327880E-08,+9.910000E+37
+1.925000E+01,-1.017668E-07,+9.910000E+37
+1.930000E+01,-5.921964E-08,+9.910000E+37
+1.940000E+01,-3.373337E-07,+9.910000E+37
+1.945000E+01,+1.860908E-07,+9.910000E+37
+1.950000E+01,-5.737422E-08,+9.910000E+37
+1.955000E+01,-6.253305E-08,+9.910000E+37
+1.960000E+01,-8.385890E-09,+9.910000E+37
+1.970000E+01,-7.204078E-07,+9.910000E+37
+1.975000E+01,-6.155279E-07,+9.910000E+37
+1.980000E+01,+9.950516E-08,+9.910000E+37
+1.985000E+01,-2.645979E-08,+9.910000E+37
+1.990000E+01,-6.354365E-08,+9.910000E+37
+2.000000E+01,-3.216240E-07,+9.910000E+37
+2.005000E+01,-5.332586E-09,+9.910000E+37
+2.010000E+01,-2.017612E-08,+9.910000E+37
+2.015000E+01,-1.804120E-08,+9.910000E+37
+2.020000E+01,-6.765245E-08,+9.910000E+37
+2.030000E+01,-6.579984E-07,+9.910000E+37
+2.035000E+01,+4.686306E-08,+9.910000E+37
+2.040000E+01,+5.350321E-09,+9.910000E+37
+2.045000E+01,-8.042009E-08,+9.910000E+37
+2.050000E+01,-5.856745E-08,+9.910000E+37
+2.060000E+01,-2.821981E-07,+9.910000E+37
+2.065000E+01,+1.825849E-07,+9.910000E+37
+2.070000E+01,-1.820140E-08,+9.910000E+37
+2.075000E+01,-9.581483E-08,+9.910000E+37
+2.080000E+01,-5.835298E-08,+9.910000E+37
+2.090000E+01,-1.490046E-07,+9.910000E+37
+2.095000E+01,+6.330763E-08,+9.910000E+37
+2.100000E+01,+4.147018E-07,+9.910000E+37
+2.105000E+01,+1.246171E-06,+9.910000E+37
+2.110000E+01,+2.022140E-06,+9.910000E+37
+2.120000E+01,+5.044398E-06,+9.910000E+37
+2.125000E+01,+6.989262E-06,+9.910000E+37
+2.130000E+01,+8.401918E-06,+9.910000E+37
+2.135000E+01,+1.073492E-05,+9.910000E+37
+2.140000E+01,+1.314756E-05,+9.910000E+37
+2.150000E+01,+1.783334E-05,+9.910000E+37
+2.155000E+01,+2.106470E-05,+9.910000E+37
+2.160000E+01,+2.436034E-05,+9.910000E+37
+2.165000E+01,+2.646913E-05,+9.910000E+37
+2.170000E+01,+3.001402E-05,+9.910000E+37
+2.180000E+01,+3.728103E-05,+9.910000E+37
+2.185000E+01,+3.998191E-05,+9.910000E+37
+2.190000E+01,+4.383940E-05,+9.910000E+37
+2.195000E+01,+4.800100E-05,+9.910000E+37
+2.200000E+01,+5.247801E-05,+9.910000E+37
+2.210000E+01,+5.969365E-05,+9.910000E+37
+2.215000E+01,+6.420694E-05,+9.910000E+37
+2.220000E+01,+6.726576E-05,+9.910000E+37
+2.225000E+01,+7.194609E-05,+9.910000E+37
+2.230000E+01,+7.676364E-05,+9.910000E+37
+2.240000E+01,+8.469465E-05,+9.910000E+37
+2.245000E+01,+8.955832E-05,+9.910000E+37
+2.250000E+01,+9.467389E-05,+9.910000E+37
+2.255000E+01,+9.990175E-05,+9.910000E+37
+2.260000E+01,+1.032049E-04,+9.910000E+37
+2.270000E+01,+1.133361E-04,+9.910000E+37
+2.275000E+01,+1.184545E-04,+9.910000E+37
+2.280000E+01,+1.219524E-04,+9.910000E+37
+2.285000E+01,+1.273579E-04,+9.910000E+37
+2.290000E+01,+1.325646E-04,+9.910000E+37
+2.300000E+01,+1.417635E-04,+9.910000E+37
+2.305000E+01,+1.472463E-04,+9.910000E+37
+2.310000E+01,+1.530064E-04,+9.910000E+37
+2.315000E+01,+1.568612E-04,+9.910000E+37
+2.320000E+01,+1.620795E-04,+9.910000E+37
+2.330000E+01,+1.737406E-04,+9.910000E+37
+2.335000E+01,+1.775622E-04,+9.910000E+37
+2.340000E+01,+1.836193E-04,+9.910000E+37
+2.345000E+01,+1.890652E-04,+9.910000E+37
+2.350000E+01,+1.950545E-04,+9.910000E+37
+2.360000E+01,+2.049551E-04,+9.910000E+37
+2.365000E+01,+2.110669E-04,+9.910000E+37
+2.370000E+01,+2.151317E-04,+9.910000E+37
+2.375000E+01,+2.211156E-04,+9.910000E+37
+2.380000E+01,+2.273720E-04,+9.910000E+37
+2.390000E+01,+2.377165E-04,+9.910000E+37
+2.395000E+01,+2.439163E-04,+9.910000E+37
+2.400000E+01,+2.501143E-04,+9.910000E+37
