After nitrogen cooling, LED 6V, BIAS 18V-24V
 Sweep settings: Start voltage: 18 V, end voltage:  24 V, sweep points: 100, current limit: 0.015 A
 U/V, I/A, R/Ohm
+1.800000E+01,-3.691781E-08,+9.910000E+37
+1.805000E+01,-1.118617E-07,+9.910000E+37
+1.810000E+01,-5.666159E-09,+9.910000E+37
+1.820000E+01,-7.263898E-07,+9.910000E+37
+1.825000E+01,-5.761605E-07,+9.910000E+37
+1.830000E+01,+1.328337E-07,+9.910000E+37
+1.835000E+01,-2.712719E-08,+9.910000E+37
+1.840000E+01,-7.412382E-08,+9.910000E+37
+1.850000E+01,-5.185936E-07,+9.910000E+37
+1.855000E+01,+2.217319E-07,+9.910000E+37
+1.860000E+01,-5.071254E-08,+9.910000E+37
+1.865000E+01,-3.588586E-08,+9.910000E+37
+1.870000E+01,-8.980554E-08,+9.910000E+37
+1.880000E+01,-7.207239E-07,+9.910000E+37
+1.885000E+01,-7.188816E-09,+9.910000E+37
+1.890000E+01,+3.319205E-09,+9.910000E+37
+1.895000E+01,-5.993282E-08,+9.910000E+37
+1.900000E+01,-3.013755E-08,+9.910000E+37
+1.910000E+01,-2.165386E-07,+9.910000E+37
+1.915000E+01,-2.130186E-08,+9.910000E+37
+1.920000E+01,-1.540420E-09,+9.910000E+37
+1.925000E+01,-7.635004E-08,+9.910000E+37
+1.930000E+01,-7.507840E-08,+9.910000E+37
+1.940000E+01,-3.176482E-07,+9.910000E+37
+1.945000E+01,-1.694261E-08,+9.910000E+37
+1.950000E+01,-3.526266E-08,+9.910000E+37
+1.955000E+01,-6.605826E-08,+9.910000E+37
+1.960000E+01,-8.855314E-09,+9.910000E+37
+1.970000E+01,-6.957217E-07,+9.910000E+37
+1.975000E+01,-4.705650E-07,+9.910000E+37
+1.980000E+01,+1.624595E-07,+9.910000E+37
+1.985000E+01,-1.622192E-08,+9.910000E+37
+1.990000E+01,-5.037194E-08,+9.910000E+37
+2.000000E+01,-3.529601E-07,+9.910000E+37
+2.005000E+01,-3.910591E-08,+9.910000E+37
+2.010000E+01,-2.354427E-08,+9.910000E+37
+2.015000E+01,-7.110085E-09,+9.910000E+37
+2.020000E+01,-8.622270E-08,+9.910000E+37
+2.030000E+01,-7.055789E-07,+9.910000E+37
+2.035000E+01,-1.337616E-08,+9.910000E+37
+2.040000E+01,+1.697012E-08,+9.910000E+37
+2.045000E+01,-5.760066E-08,+9.910000E+37
+2.050000E+01,-6.301422E-08,+9.910000E+37
+2.060000E+01,-3.180261E-07,+9.910000E+37
+2.065000E+01,+1.879218E-07,+9.910000E+37
+2.070000E+01,-1.504802E-08,+9.910000E+37
+2.075000E+01,-9.983214E-08,+9.910000E+37
+2.080000E+01,-3.236083E-08,+9.910000E+37
+2.090000E+01,-1.089267E-07,+9.910000E+37
+2.095000E+01,+1.094619E-07,+9.910000E+37
+2.100000E+01,+5.970802E-07,+9.910000E+37
+2.105000E+01,+1.731908E-06,+9.910000E+37
+2.110000E+01,+2.735718E-06,+9.910000E+37
+2.120000E+01,+6.634367E-06,+9.910000E+37
+2.125000E+01,+9.137940E-06,+9.910000E+37
+2.130000E+01,+1.067307E-05,+9.910000E+37
+2.135000E+01,+1.365874E-05,+9.910000E+37
+2.140000E+01,+1.694176E-05,+9.910000E+37
+2.150000E+01,+2.290746E-05,+9.910000E+37
+2.155000E+01,+2.665701E-05,+9.910000E+37
+2.160000E+01,+3.070710E-05,+9.910000E+37
+2.165000E+01,+3.349020E-05,+9.910000E+37
+2.170000E+01,+3.787871E-05,+9.910000E+37
+2.180000E+01,+4.691146E-05,+9.910000E+37
+2.185000E+01,+5.009980E-05,+9.910000E+37
+2.190000E+01,+5.501371E-05,+9.910000E+37
+2.195000E+01,+6.031335E-05,+9.910000E+37
+2.200000E+01,+6.563548E-05,+9.910000E+37
+2.210000E+01,+7.451261E-05,+9.910000E+37
+2.215000E+01,+8.012537E-05,+9.910000E+37
+2.220000E+01,+8.401824E-05,+9.910000E+37
+2.225000E+01,+8.958078E-05,+9.910000E+37
+2.230000E+01,+9.543721E-05,+9.910000E+37
+2.240000E+01,+1.047525E-04,+9.910000E+37
+2.245000E+01,+1.108071E-04,+9.910000E+37
+2.250000E+01,+1.167642E-04,+9.910000E+37
+2.255000E+01,+1.228921E-04,+9.910000E+37
+2.260000E+01,+1.269200E-04,+9.910000E+37
+2.270000E+01,+1.396308E-04,+9.910000E+37
+2.275000E+01,+1.457198E-04,+9.910000E+37
+2.280000E+01,+1.498967E-04,+9.910000E+37
+2.285000E+01,+1.562050E-04,+9.910000E+37
+2.290000E+01,+1.623232E-04,+9.910000E+37
+2.300000E+01,+1.737643E-04,+9.910000E+37
+2.305000E+01,+1.799953E-04,+9.910000E+37
+2.310000E+01,+1.868281E-04,+9.910000E+37
+2.315000E+01,+1.913817E-04,+9.910000E+37
+2.320000E+01,+1.978664E-04,+9.910000E+37
+2.330000E+01,+2.119591E-04,+9.910000E+37
+2.335000E+01,+2.160647E-04,+9.910000E+37
+2.340000E+01,+2.233954E-04,+9.910000E+37
+2.345000E+01,+2.302251E-04,+9.910000E+37
+2.350000E+01,+2.367917E-04,+9.910000E+37
+2.360000E+01,+2.489335E-04,+9.910000E+37
+2.365000E+01,+2.558345E-04,+9.910000E+37
+2.370000E+01,+2.604633E-04,+9.910000E+37
+2.375000E+01,+2.678880E-04,+9.910000E+37
+2.380000E+01,+2.749040E-04,+9.910000E+37
+2.390000E+01,+2.874629E-04,+9.910000E+37
+2.395000E+01,+2.949579E-04,+9.910000E+37
+2.400000E+01,+3.023117E-04,+9.910000E+37
